class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
main\java\org\apache\hadoop\hbase\rest\StorageClusterVersionResource.java,39,32,18,3,4,1,16,32,48,61,46,107,597.5909876,0.154350832,6.478747084,3871.640868,11.94950885,4,2,0,7,60,1,main\java\org\apache\hadoop\hbase\rest\StorageClusterVersionResource.java,9,13,72,18.055555,,,2,22.222221,44.596912,71.625343,29.5,0.409722,3,4.166667,1,0,0,,0,0,1,100,1.372213,100,0,,0,,8,8,56,14.285714,,,2,25,44.425385,72.957748,24,0.428571,0,0,9,1.543739,0.001495,8,1,1.372213,0.171527,0.180556,36,0.014914,2.109138,14.983225,2.899084,337563,197829,0.172708,0.294699,73.715874,3.666667,0.126226,0.006279,93.473961,0.027549,0.26754,6.944444,0.771605,0.157585,0.008406,0.185316,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\client\TestResult.java,65,51,37,2,6,1,48,83,131,245,204,449,2484.635557,0.313545157,29.51395044,26070.59482,80.46479881,6,2,0,8,76,2,test\java\org\apache\hadoop\hbase\client\TestResult.java,4,7,12,58.333332,,,1,25,45.7976,60.135136,2.5,0.208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,58.333332,,,1,25,45.7976,60.135136,2.5,0.208333,0,0,4,0.686106,0.000664,4,0,0.686106,0,0.583333,6,0.02154,3.046197,51.088333,9.885013,340472,208351,0.171233,0.279816,60.137356,1,0.102975,0.001712,0,0,0,1.875,0.46875,0.272342,0.000161,0.04367,1,0,1,0,0,1,1,0,0
main\java\org\apache\hadoop\hbase\mapred\GroupingTableMap.java,120,69,38,6,16,4,88,90,178,245,155,400,2089.071747,0.482487796,53.7152888,22531.82364,69.54266556,16,2,0,15,59,8,main\java\org\apache\hadoop\hbase\mapred\GroupingTableMap.java,7,8,42,19.047619,,,1,14.285714,46.483704,59.56044,17,0.404762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,42,19.047619,,,1,14.285714,46.483704,59.56044,17,0.404762,0,0,7,1.200686,0.001163,7,0,1.200686,0,0.190476,21,0.020937,2.960889,93.618896,18.114193,340472,207261,0.171233,0.281288,58.448185,1,0.100083,0.001712,0,0,0.064787,5.142857,0.734694,0.181045,0.008806,0.121039,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\filter\TestDependentColumnFilter.java,201,132,97,5,13,2,77,135,212,501,414,915,4629.434892,0.584819702,76.26283415,63031.81519,194.5426395,13,2,0,23,432,6,test\java\org\apache\hadoop\hbase\filter\TestDependentColumnFilter.java,11,25,110,22.727272,,,2,18.181818,60.205833,38.529087,42.5,0.386364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,110,22.727272,,,2,18.181818,60.205833,38.529087,42.5,0.386364,0,0,11,1.886792,0.001827,11,0,1.886792,0,0.227273,55,0.047646,6.738113,41.291508,7.989438,340472,205740,0.171233,0.283367,87.596504,1,0.149994,0.001712,0,0,0.053721,8.409091,0.764463,0.103793,0.00406,0.066022,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\filter\DependentColumnFilter.java,143,87,37,4,20,2,94,78,172,242,128,370,1682.348748,1.431826079,54.92060164,11476.49103,35.42126861,20,3,0,14,66,69,main\java\org\apache\hadoop\hbase\filter\DependentColumnFilter.java,5,5,20,25,,,1,20,44.25386,68.435013,7.5,0.375,2.5,12.5,1,0,0,,0,0,1,100,1.886792,100,0,,0,,4,4,12,33.333332,,,1,25,44.25386,70.491806,4,0.333333,0,0,5,0.857633,0.000831,4,1,0.686106,0.171527,0.25,10,0.017092,2.417191,26.903942,5.205607,339889,207480,0.171527,0.280991,47.754665,2,0.081772,0.003425,2.6,0.000766,0.025166,3.6,0.72,0.232148,0.001311,0.0768,1,0,1,1,2,1,1,3,0
test\java\org\apache\hadoop\hbase\util\TestFSUtils.java,17,17,12,2,2,1,14,15,29,60,40,100,485.7980995,0.078332434,12.76610393,6201.749029,19.14120071,2,1,0,3,24,0,test\java\org\apache\hadoop\hbase\util\TestFSUtils.java,2,1,2,50,,,1,50,20.411663,92.248062,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,,,1,50,20.411663,92.248062,0.5,0.25,0,0,2,0.343053,0.000332,2,0,0.343053,0,0.5,1,0.007644,1.081093,-9.344743,-1.808102,340472,208135,0.171233,0.280107,74.674202,1,0.127867,0.001712,0,0,0,1.5,0.75,0.522369,0.000427,0.022049,1,0,1,1,0,1,1,1,0
test\java\org\apache\hadoop\hbase\replication\regionserver\TestReplicationSourceManager.java,191,134,80,4,8,2,26,69,95,202,163,365,2170.54673,1.298426909,12.0262097,21887.63461,67.5544278,8,1,0,26,249,5,test\java\org\apache\hadoop\hbase\replication\regionserver\TestReplicationSourceManager.java,17,72,272,26.470589,,,1,5.882353,69.468269,30.405405,100,0.367647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,72,272,26.470589,,,1,5.882353,69.468269,30.405405,100,0.367647,0,0,17,2.915952,0.002824,17,0,2.915952,0,0.264706,136,0.067282,9.515165,145.499176,28.152439,340472,208029,0.171233,0.280249,90.384613,1,0.154768,0.001712,0,0,0.077385,11.882353,0.698962,0.081278,0.004271,0.171927,3,0,0,0,0,3,0,0,0
test\java\org\apache\hadoop\hbase\regionserver\TestScanWildcardColumnTracker.java,92,66,49,3,9,2,49,75,124,277,206,483,2605.370537,0.147248971,63.27236853,58061.07518,179.2008493,9,3,0,7,488,0,test\java\org\apache\hadoop\hbase\regionserver\TestScanWildcardColumnTracker.java,3,2,6,33.333332,,,1,33.333332,40.137222,85.090912,2,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.333332,,,1,33.333332,40.137222,85.090912,2,0.333333,0,0,3,0.51458,0.000498,3,0,0.51458,0,0.333333,3,0.013011,1.840033,25.68432,4.969625,340472,208337,0.171233,0.279835,60.604023,1,0.103774,0.001712,0,0,0.000342,2.333333,0.777778,0.381766,0.012527,0.066559,1,0,3,0,0,1,3,0,0
test\java\org\apache\hadoop\hbase\MapFilePerformanceEvaluation.java,308,241,120,2,6,0,57,66,123,219,145,364,1816.446549,0.899219053,47.848899,34805.33141,107.4238624,6,1,0,10,29,9,test\java\org\apache\hadoop\hbase\MapFilePerformanceEvaluation.java,6,8,30,26.666666,,,2,33.333332,63.293312,57.032459,11,0.366667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,30,26.666666,,,2,33.333332,63.293312,57.032459,11,0.366667,0,0,6,1.02916,0.000997,6,0,1.02916,0,0.266667,15,0.027401,3.875028,8.376883,1.620832,340472,207733,0.171233,0.280649,63.825119,1,0.10929,0.001712,0,0,0.021026,4.333333,0.722222,0.204262,0.014523,0.099983,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\master\handler\TableDeleteFamilyHandler.java,32,24,14,3,4,1,32,39,71,88,63,151,802.9961169,0.303357168,14.25686835,6621.331896,20.43620956,4,3,0,11,140,0,main\java\org\apache\hadoop\hbase\master\handler\TableDeleteFamilyHandler.java,8,15,56,26.785715,,,2,25,51.286449,54.862385,20.5,0.366071,1,1.785714,1,0,0,,0,0,1,100,11.663808,100,0,,0,,7,9,42,21.428572,,,2,28.571428,46.826759,57.232704,16.5,0.392857,0,0,8,1.372213,0.001329,7,1,1.200686,0.171527,0.267857,28,0.028061,3.968403,-25.738308,-4.980071,83837,208821,0.695397,0.279186,68.414276,105.888176,0.117148,0.181315,147,0.043324,0.101584,5.8125,0.726563,0.149382,0.005509,0.090094,1,0,0,1,0,1,0,1,0
test\java\org\apache\hadoop\hbase\metrics\TestMetricsMBeanBase.java,83,67,43,2,6,1,25,50,75,116,106,222,1096.224472,0.732826835,27.66463768,17629.11007,54.41083356,6,2,0,11,29,7,test\java\org\apache\hadoop\hbase\metrics\TestMetricsMBeanBase.java,4,5,12,41.666668,,,1,25,3.773585,46.80851,3.5,0.291667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,41.666668,,,1,25,3.773585,46.80851,3.5,0.291667,0,0,4,0.686106,0.000664,4,0,0.686106,0,0.416667,6,0.001346,0.190309,-55.766571,-10.790198,340472,208863,0.171233,0.27913,42.052078,1,0.072007,0.001712,0,0,0.000147,1.875,0.46875,0.380957,0.008297,0.23088,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\rest\model\TestTableInfoModel.java,81,68,41,1,10,0,51,69,120,120,97,217,986.3437652,1.559405249,23.91510656,3993.883337,12.32680042,10,2,0,17,75,40,test\java\org\apache\hadoop\hbase\rest\model\TestTableInfoModel.java,4,2,12,16.666666,,,2,50,40.994854,93.359375,5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.666666,,,2,50,40.994854,93.359375,5,0.416667,0,0,4,0.686106,0.000664,4,0,0.686106,0,0.166667,6,0.010664,1.508134,9.439626,1.82646,340472,206891,0.171233,0.281791,48.471329,1,0.082999,0.001712,0,0,0.087006,3.125,0.78125,0.311351,0.006122,0.113578,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\rest\model\TestTableListModel.java,73,60,34,1,10,0,50,57,107,117,92,209,894.3767736,1.381042689,26.77201278,4350.504727,13.42748373,10,2,0,16,42,40,test\java\org\apache\hadoop\hbase\rest\model\TestTableListModel.java,3,1,6,16.666666,,,2,66.666664,3.087479,81.818184,2.5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,16.666666,,,2,66.666664,3.087479,81.818184,2.5,0.416667,0,0,3,0.51458,0.000498,3,0,0.51458,0,0.166667,3,0.000552,0.07809,3.527523,0.682536,340472,207727,0.171233,0.280657,40.68898,1,0.069673,0.001712,0,0,0.010917,2.333333,0.777778,0.444722,0.015569,0.15,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\rest\model\TestCellSetModel.java,119,105,77,1,10,0,51,88,139,238,193,431,2174.816227,1.298723242,30.3335451,15764.81298,48.65683018,10,2,0,18,72,40,test\java\org\apache\hadoop\hbase\rest\model\TestCellSetModel.java,5,3,20,15,,,3,60,41.337906,87.31884,8.5,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,,,3,60,41.337906,87.31884,8.5,0.425,0,0,5,0.857633,0.000831,5,0,0.857633,0,0.15,10,0.010827,1.531125,31.68292,6.130285,340472,208768,0.171233,0.279257,44.488602,1,0.076179,0.001712,0,0,0.071179,3.8,0.76,0.247896,0.007966,0.109697,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\master\OOMEHMaster.java,21,17,5,1,3,0,32,24,56,48,32,80,345.9873455,0.468909904,19.83827092,2360.26609,7.284771881,3,3,0,14,961,3,test\java\org\apache\hadoop\hbase\master\OOMEHMaster.java,4,5,12,41.666668,,,1,25,20.583191,81.632652,3.5,0.291667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,41.666668,,,1,25,20.583191,81.632652,3.5,0.291667,0,0,4,0.686106,0.000664,4,0,0.686106,0,0.416667,6,0.007496,1.060027,-112.659088,-21.798254,340472,208108,0.171233,0.280143,78.936935,1,0.135166,0.001712,0,0,0.002505,2.25,0.5625,0.347719,0.006126,0.1769,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\regionserver\LeaseException.java,15,8,3,1,2,0,5,3,8,6,4,10,30,0.655049482,1.52660223,45.79806691,0.141352058,2,5,0,1,44,1,main\java\org\apache\hadoop\hbase\regionserver\LeaseException.java,2,0,2,0,,,2,100,1.886792,91.666664,1,0.5,1,50,1,0,0,,0,0,1,100,0.51458,100,0,,0,,1,0,0,,0,0,1,100,1.543739,100,0,,0,,2,0.343053,0.000332,1,1,0.171527,0.171527,0,1,0.000731,0.103344,1.007562,0.194952,83736,339889,0.696236,0.171527,2,83.865898,0.003425,0.143606,1,0.000295,0.000442,2,1,0.5,0,0,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\util\HBaseConfTool.java,11,10,6,2,2,1,12,17,29,31,24,55,267.1889547,0.124328796,8.043188988,2149.051259,6.632874255,2,1,0,4,14,0,main\java\org\apache\hadoop\hbase\util\HBaseConfTool.java,1,0,0,,0,0,1,100,10.463121,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,10.463121,100,0,,0,,1,0.171527,0.000166,1,0,0.171527,0,,0,0.002872,0.406133,1.37993,0.267001,340472,208549,0.171233,0.279551,47.845161,1,0.081927,0.001712,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\regionserver\LruHashMap.java,1047,486,304,7,96,3,407,330,737,1112,738,1850,9323.343371,5.63232907,229.8618643,95229.41338,293.9179425,96,1,0,15,64,964,main\java\org\apache\hadoop\hbase\regionserver\LruHashMap.java,1,0,0,,0,0,1,100,38.421955,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,38.421955,100,0,,0,,1,0.171527,0.000166,1,0,0.171527,0,,0,0.008782,1.241953,-1.349709,-0.261153,340472,208683,0.171233,0.279371,46.009083,1,0.078783,0.001712,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\client\UnmodifyableHColumnDescriptor.java,64,32,8,1,8,0,64,36,100,74,38,112,409.6392584,0.969980082,81.8213327,4438.362882,13.69865087,8,2,0,4,76,28,main\java\org\apache\hadoop\hbase\client\UnmodifyableHColumnDescriptor.java,1,0,0,,0,0,1,100,11.492281,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,11.492281,100,0,,0,,1,0.171527,0.000166,1,0,0.171527,0,,0,0.003841,0.543252,-8.019299,-1.551643,340472,208673,0.171233,0.279384,43.776077,1,0.074959,0.001712,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
