class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
test\java\org\apache\hadoop\hbase\mapreduce\TestTableSplit.java,13,13,8,1,1,0,9,17,26,55,44,99,465.3435321,0.071386575,14.00823614,6518.642086,20.1192657,1,1,0,3,14,0,test\java\org\apache\hadoop\hbase\mapreduce\TestTableSplit.java,1,0,0,,0,0,1,100,0.388098,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,0.388098,100,0,,0,,1,0.129366,0.000116,1,0,0.129366,0,,0,0.000226,0.031975,-0.26561,-0.22562,598302,371407,0.129199,0.208127,43.050426,1,0.055621,0.001292,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\mapreduce\TableSplit.java,161,79,34,5,19,1,63,52,115,175,125,300,1299.662037,1.005525379,41.52577301,10157.7055,31.35094289,19,2,0,8,32,46,main\java\org\apache\hadoop\hbase\mapreduce\TableSplit.java,3,1,6,16.666666,,,2,66.666664,41.397156,97.859329,2.5,0.416667,1,16.666666,2,0,2,0,,,2,100,1.293661,100,1,0.5,0,0,1,0,0,,0,0,1,100,41.009056,100,0,,0,,3,0.388098,0.000347,1,2,0.129366,0.258732,0.166667,3,0.00875,1.237484,-1.278369,-1.0859,591366,371885,0.130714,0.20786,49.540462,4.983334,0.064006,0.006438,295,0.049434,0.248678,2.5,0.833333,0.360096,0.004545,0.038085,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\replication\regionserver\ReplicationSource.java,712,510,338,29,94,6,304,462,766,1445,819,2264,13283.4328,4.335974018,153.2889627,119087.382,367.5536483,94,2,0,46,257,171,main\java\org\apache\hadoop\hbase\replication\regionserver\ReplicationSource.java,16,31,240,12.916667,,,1,6.25,70.76326,46.160339,104.5,0.435417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,240,12.916667,,,1,6.25,70.76326,46.160339,104.5,0.435417,0,0,16,2.069858,0.00185,16,0,2.069858,0,0.129167,120,0.033238,4.700567,-18.260483,-15.511214,598302,370334,0.129199,0.208731,93.535652,1,0.120847,0.001292,0,0,0.214585,13.3125,0.832031,0.085514,0.01639,0.157042,0,0,2,0,1,0,2,1,0
main\java\org\apache\hadoop\hbase\HConstants.java,500,146,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,12,0,main\java\org\apache\hadoop\hbase\HConstants.java,2,0,2,0,,,2,100,10.478655,98.780487,1,0.5,1,50,1,0,0,,0,0,1,100,0.517464,100,0,,0,,1,0,0,,0,0,1,100,10.090556,100,0,,0,,2,0.258732,0.000231,1,1,0.129366,0.129366,0,1,0.002286,0.323226,0.093569,0.079481,110875,372934,0.697182,0.207275,43.157566,135.374634,0.055759,0.174903,293,0.049099,0.002701,2,1,0.5,0,0,1,0,2,1,1,1,2,2,0
main\java\org\apache\hadoop\hbase\KeyValue.java,1959,1023,599,13,151,2,954,738,1692,2659,1541,4200,20531.81595,35.86141154,364.5381833,182293.657,562.6347437,151,1,0,27,146,4885,main\java\org\apache\hadoop\hbase\KeyValue.java,147,697,21462,3.2476,,,4,2.721088,80.983185,19.044722,10382.5,0.483762,265.659515,1.237813,144,530,20592,2.573815,,,5,3.472222,77.490295,21.203539,10031,0.487131,91,0.441919,4,6,12,50,,,1,25,65.717979,59.069767,3,0.25,3,25,147,19.016817,0.016998,4,144,0.517464,18.628719,0.032476,10731,0.161112,22.784664,-0.649411,-0.551637,108853,372308,0.710132,0.207624,62.773945,367.650146,0.081103,0.475,10380.99219,1.739571,6.061763,138.820938,0.94436,0.024953,0.254377,0.499603,0,1,2,0,0,1,2,0,0
main\java\org\apache\hadoop\hbase\ServerName.java,244,143,75,4,40,2,212,144,356,431,271,702,3171.814758,5.817125319,72.73508414,15928.81984,49.1630242,40,1,0,11,43,253,main\java\org\apache\hadoop\hbase\ServerName.java,78,270,6006,4.495504,,,4,5.128205,66.882278,29.325014,2868,0.477522,87.333336,1.454101,76,231,5700,4.052631,,,5,6.578948,50.064682,26.85635,2734.5,0.479737,0,0,2,0,2,0,,,2,100,41.397156,99.378883,1,0.5,0,0,78,10.090556,0.009019,2,76,0.258732,9.831824,0.044955,3003,0.078569,11.111291,-0.907338,-0.770731,109806,372647,0.703969,0.207435,50.230942,254.614044,0.064898,0.328959,2030.337402,0.340229,1.9378,72.884613,0.934418,0.028772,0.086791,0.379084,0,1,1,1,0,1,1,1,0
main\java\org\apache\hadoop\hbase\client\HConnectionManager.java,1771,1284,809,4,22,2,166,131,297,341,217,558,2732.739315,2.579983761,74.69231042,19811.7651,61.14742314,22,1,0,15,113,60,main\java\org\apache\hadoop\hbase\client\HConnectionManager.java,25,58,600,9.666667,,,1,4,63.777489,43.939392,271,0.451667,0.25,0.041667,24,35,552,6.34058,,,5,20.833334,39.715393,42.403316,258.5,0.468297,0,0,1,0,0,,0,0,1,100,51.487709,100,0,,0,,25,3.234153,0.002891,1,24,0.129366,3.104787,0.096667,300,0.041278,5.837654,-1.816569,-1.543069,110054,372363,0.702382,0.207593,58.8521,205.119843,0.076036,0.265013,1.048052,0.000176,0.093455,21.780001,0.8712,0.065587,0.069228,0.221713,1,1,2,1,0,2,2,1,0
main\java\org\apache\hadoop\hbase\regionserver\wal\HLog.java,1559,920,557,10,175,4,749,921,1670,2539,1535,4074,22731.77221,13.14992688,289.912797,183657.0989,566.8428978,175,1,0,70,232,2070,main\java\org\apache\hadoop\hbase\regionserver\wal\HLog.java,58,286,3306,8.650938,,,2,3.448276,77.360931,28.35467,1510,0.456745,451.326202,13.65173,46,53,2070,2.560386,,,9,19.565218,37.774902,33.371429,1008.5,0.487198,188.5,9.10628,16,37,240,15.416667,,,3,18.75,71.280724,43.18182,101.5,0.422917,36.416668,15.173611,58,7.503234,0.006707,16,46,2.069858,5.950841,0.086509,1653,0.088787,12.556394,-3.13971,-2.667001,110113,371765,0.702006,0.207927,99.342896,210.153259,0.12835,0.271516,7371.62793,1.235283,0.720686,50.733871,0.874722,0.044727,0.122658,0.43697,2,1,2,0,1,3,2,1,0
main\java\org\apache\hadoop\hbase\regionserver\wal\HLogKey.java,223,137,77,7,31,2,129,106,235,376,212,588,2768.993804,2.192816668,73.75132817,23607.99598,72.86418512,31,1,0,11,37,77,main\java\org\apache\hadoop\hbase\regionserver\wal\HLogKey.java,23,52,506,10.27668,,,2,8.695652,50.19405,50.785339,227,0.448617,2.5,0.494071,22,35,462,7.575758,,,2,9.090909,22.380337,38.702461,213.5,0.462121,0,0,1,0,0,,0,0,1,100,41.009056,100,0,,0,,23,2.97542,0.00266,1,22,0.129366,2.846054,0.102767,253,0.033932,4.798677,-1.234521,-1.048654,110198,372653,0.701465,0.207432,49.373798,189.053238,0.06379,0.244255,1.650794,0.000277,0.044139,19.869566,0.863894,0.072941,0.093722,0.216391,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\regionserver\wal\WALEdit.java,119,95,57,7,24,3,86,77,163,256,165,421,2145.841256,3.601263965,41.7327239,20737.25713,64.00388004,24,1,0,15,46,18,main\java\org\apache\hadoop\hbase\regionserver\wal\WALEdit.java,28,77,756,10.185185,,,1,3.571429,54.721863,43.608246,339.5,0.449074,22.583334,2.987213,25,39,600,6.5,,,1,4,22.8978,35.902637,280.5,0.4675,0,0,3,2,6,33.333332,,,1,33.333332,46.183701,74.842766,2,0.333333,0,0,28,3.622251,0.003238,3,25,0.388098,3.234153,0.101852,378,0.042543,6.016494,-1.80324,-1.531747,110195,372594,0.701484,0.207464,52.498817,190.553223,0.067828,0.246193,29.43059,0.004932,0.120851,24.035713,0.858418,0.065521,0.096941,0.263043,0,0,0,0,0,0,0,0,1
