class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
main\java\org\apache\hadoop\hbase\client\ServerCallable.java,48,30,12,2,7,1,21,16,37,43,25,68,285.5600373,0.63075071,6.50291757,910.2997632,2.80956717,7,1,1,7,20,4,main\java\org\apache\hadoop\hbase\client\ServerCallable.java,4,4,12,33.333332,,,1,25,17.864477,72.5,4,0.333333,0.5,4.166667,1,0,0,,0,0,1,100,1.64271,100,0,,0,,3,2,6,33.333332,,,1,33.333332,17.043121,74.10714,2,0.333333,0,0,4,0.821355,0.000862,3,1,0.616016,0.205339,0.333333,6,0.010069,1.424041,3,8.546802,64814,158584,0.751381,0.307093,34.967834,72.933334,0.071655,0.149454,0.5,0.000211,0.001257,2,0.5,0.323721,0.003228,0.136657,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\HRegionLocation.java,72,44,20,4,11,1,42,22,64,88,43,131,533.984253,1.158202055,29.24562737,5125.203622,15.8185297,11,1,0,4,25,7,main\java\org\apache\hadoop\hbase\HRegionLocation.java,13,38,156,24.358974,,,1,7.692307,50.30801,39.516129,59,0.378205,2.2,1.410256,11,21,110,19.09091,,,2,18.181818,48.665298,45.489445,44.5,0.404545,0,0,2,0,2,0,,,2,100,17.043121,83.838387,1,0.5,0,0,13,2.669405,0.002803,2,11,0.410678,2.258727,0.24359,78,0.046885,6.630606,2,5.697868,63843,158589,0.762809,0.307083,34.134502,156.733368,0.069948,0.321175,354.585785,0.149815,0.093964,8.384615,0.64497,0.118461,0.021548,0.224666,0,0,1,0,0,0,1,0,0
main\java\org\apache\hadoop\hbase\HServerAddress.java,144,92,49,4,23,1,103,91,194,247,150,397,1793.874907,2.285814217,39.29959551,8688.965503,26.81779476,23,1,0,9,23,20,main\java\org\apache\hadoop\hbase\HServerAddress.java,26,78,650,12,,,1,3.846154,53.59343,36.149586,286,0.44,0,0,26,78,650,12,,,1,3.846154,53.59343,36.149586,286,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5.338809,0.005606,0,26,0,5.338809,0.12,325,0.059694,8.441975,0,0,62370,237656,0.780824,0.204918,1,165.649979,0.002049,0.339447,0,0,0.558819,21.51923,0.827663,0.067404,0.035906,0.287772,0,0,2,2,0,0,2,2,0
main\java\org\apache\hadoop\hbase\HRegionInfo.java,560,321,204,8,68,2,294,252,546,977,577,1554,7794.670781,5.608504104,154.6509744,116709.1708,360.21349,68,2,1,20,104,524,main\java\org\apache\hadoop\hbase\HRegionInfo.java,73,402,5256,7.648402,,,3,4.109589,74.537987,19.912233,2427,0.461758,480.64563,9.144704,66,234,4290,5.454545,,,4,6.060606,56.262833,21.38954,2028,0.472727,0,0,7,8,42,19.047619,,,2,28.571428,59.342915,53.321033,17,0.404762,0,0,73,14.989733,0.01574,7,66,1.437372,13.552361,0.076484,2628,0.175927,24.879766,7,19.942537,63905,158429,0.762069,0.307393,43.680584,173.099991,0.089509,0.354713,2388.465576,1.009145,2.843096,64.30822,0.880935,0.03918,0.112803,0.520584,1,1,2,0,0,2,2,0,0
main\java\org\apache\hadoop\hbase\KeyValue.java,1790,942,554,13,132,2,828,636,1464,2352,1365,3717,18369.26323,25.56288952,335.0739332,175819.8622,542.6538956,132,1,0,25,130,3650,main\java\org\apache\hadoop\hbase\KeyValue.java,99,492,9702,5.071119,,,3,3.030303,78.850105,18.568665,4605,0.474644,342.042847,3.525488,95,334,8930,3.740201,,,4,4.210526,72.279259,21.608349,4298,0.481299,0,0,4,3,12,25,,,1,25,55.441479,61.503418,4.5,0.375,0,0,99,20.328543,0.021345,4,95,0.821355,19.507187,0.050711,4851,0.195944,27.710604,4,11.395736,63710,158444,0.764401,0.307364,40.713921,208.216599,0.08343,0.426673,5070.23584,2.142214,8.59441,90.277779,0.911897,0.032719,0.160749,0.559765,2,2,2,0,0,4,2,0,0
main\java\org\apache\hadoop\hbase\io\hfile\HFile.java,1774,1105,713,24,35,5,91,196,287,635,467,1102,7765.357659,2.469047407,53.56255446,172057.2913,531.0410224,35,1,0,24,98,36,main\java\org\apache\hadoop\hbase\io\hfile\HFile.java,25,73,600,12.166667,,,1,4,65.503082,39.141106,263.5,0.439167,88,14.666667,18,26,306,8.496732,,,3,16.666666,18.891171,43.396225,140,0.457516,4.833333,1.579521,8,10,56,17.857143,,,1,12.5,63.860371,47.919876,23,0.410714,12,21.428572,25,5.13347,0.00539,8,18,1.64271,3.696099,0.121667,300,0.062578,8.849853,8,22.791471,64221,158195,0.758319,0.307848,56.009541,121.002457,0.114774,0.247956,3235.058594,1.366838,0.56254,19.923077,0.796923,0.088559,0.114291,0.366936,2,6,2,0,0,8,2,0,0
test\java\org\apache\hadoop\hbase\io\hfile\RandomSeek.java,88,72,56,7,10,3,62,110,172,306,233,539,3419.882128,0.22953969,46.11227979,75834.42068,234.056854,10,1,0,17,40,3,test\java\org\apache\hadoop\hbase\io\hfile\RandomSeek.java,3,1,6,16.666666,,,2,66.666664,41.478439,92.237442,2.5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,16.666666,,,2,66.666664,41.478439,92.237442,2.5,0.416667,0,0,3,0.616016,0.000647,3,0,0.616016,0,0.166667,3,0.012644,1.788154,3,8.546802,237656,157376,0.204918,0.30945,43.596458,1,0.089337,0.002049,0,0,0.392087,2.5,0.833333,0.343199,0.000515,0.014548,0,0,1,0,0,0,1,0,0
main\java\org\apache\hadoop\hbase\util\Bytes.java,1215,647,408,7,146,3,1122,653,1775,2681,1498,4179,21015.8191,55.66602802,672.5770255,388824.5146,1200.075662,146,1,0,27,80,2305,main\java\org\apache\hadoop\hbase\util\Bytes.java,193,970,37056,2.61766,,,7,3.626943,83.983574,13.930518,18043,0.486912,2826.898438,7.62872,191,876,36290,2.413888,,,10,5.235602,82.340866,14.481762,17707,0.487931,0,0,2,1,2,50,,,1,50,33.470226,97.60479,0.5,0.25,0,0,193,39.63039,0.041613,2,191,0.410678,39.219711,0.026177,18528,0.316344,44.73777,2,5.697868,63539,158462,0.766458,0.307329,38.506763,266.31662,0.078907,0.545731,9123.890625,3.854915,27.255194,184.334198,0.955099,0.020053,0.190966,0.593117,1,0,2,1,1,1,2,2,0
main\java\org\apache\hadoop\hbase\io\hfile\SimpleBlockCache.java,58,43,18,2,9,1,39,36,75,68,49,117,495.1484796,0.86643068,19.30773698,2438.329464,7.525708223,9,1,0,7,19,11,main\java\org\apache\hadoop\hbase\io\hfile\SimpleBlockCache.java,1,0,0,,0,0,1,100,0.616016,100,0,,0,,1,0,0,,0,0,1,100,0.616016,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.205339,0.000216,0,1,0,0.205339,,0,0.000421,0.059602,0,0,237169,237656,0.205339,0.204918,1,2,0.002049,0.004098,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\zookeeper\ZooKeeperWrapper.java,775,524,355,10,125,4,508,653,1161,1578,1155,2733,14590.42692,8.09053115,226.9241771,116177.307,358.5719352,125,1,0,26,70,716,main\java\org\apache\hadoop\hbase\zookeeper\ZooKeeperWrapper.java,15,49,210,23.333334,,,1,6.666667,65.0924,39.974781,80.5,0.383333,29.416666,14.007936,8,13,56,23.214285,,,1,12.5,26.899384,48.880596,21.5,0.383929,6,10.714286,8,13,56,23.214285,,,1,12.5,62.833675,51,21.5,0.383929,2,3.571429,15,3.080082,0.003234,8,8,1.64271,1.64271,0.233333,105,0.054433,7.69799,8,22.791471,64297,158098,0.757423,0.308037,66.216621,112.302391,0.13569,0.230128,2117.060059,0.894474,0.104789,9.6875,0.645833,0.108503,0.076134,0.219495,1,2,2,0,1,3,2,1,0
