class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
test\java\org\apache\hadoop\hbase\io\encoding\TestLoadAndSwitchEncodeOnDisk.java,54,39,25,2,5,1,12,39,51,76,69,145,822.5016746,0.126494484,7.905483051,6502.273048,20.06874397,5,2,0,16,462,6,test\java\org\apache\hadoop\hbase\io\encoding\TestLoadAndSwitchEncodeOnDisk.java,7,10,42,23.809525,,,2,28.571428,31.317495,52.252251,16,0.380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,42,23.809525,,,2,28.571428,31.317495,52.252251,16,0.380952,0,0,7,0.75594,0.000591,7,0,0.75594,0,0.238095,21,0.013739,1.942955,11.800572,13.295192,858402,497318,0.107875,0.186199,129.313965,1,0.139497,0.001079,0,0,0.001413,5.071428,0.72449,0.16152,0.001883,0.062346,0,0,0,0,0,0,0,0,1
main\java\org\apache\hadoop\hbase\HColumnDescriptor.java,874,472,301,12,105,3,495,531,1026,1328,890,2218,11126.42039,28.44913302,188.7525808,78944.81541,243.6568377,105,1,1,28,77,1158,main\java\org\apache\hadoop\hbase\HColumnDescriptor.java,117,573,13572,4.221928,,,2,1.709402,74.406044,20.336481,6499.5,0.47889,282.108337,2.078605,112,434,12432,3.490991,,,3,2.678571,65.874733,21.232161,5999,0.482545,0,0,5,3,20,15,,,3,60,43.844494,78.834953,8.5,0.425,0,0,117,12.634989,0.00987,5,112,0.539957,12.095033,0.042219,6786,0.125046,17.68421,-2.508537,-2.826259,212088,503173,0.436611,0.184032,101.291534,354.809692,0.109268,0.38275,1999.664795,0.233456,1.347945,109.944443,0.939696,0.023628,0.226006,0.336798,1,0,1,6,1,1,1,7,0
main\java\org\apache\hadoop\hbase\client\HBaseAdmin.java,1589,826,473,14,181,6,1078,1036,2114,2662,1710,4372,23294.75767,30.88636288,369.854143,168771.2767,520.8990023,181,1,0,49,378,3375,main\java\org\apache\hadoop\hbase\client\HBaseAdmin.java,95,502,8930,5.6215,,,1,1.052632,76.673866,21.251122,4214,0.471893,1079.692871,12.090626,73,117,5256,2.226027,,,2,2.739726,52.267818,29.458307,2569.5,0.48887,31.583334,0.600901,23,54,506,10.671937,,,2,8.695652,71.058319,33.486004,226,0.44664,100.833336,19.927536,95,10.259179,0.008014,23,73,2.483801,7.883369,0.056215,4465,0.104329,14.754329,-16.125858,-18.168304,212268,502856,0.436241,0.184148,135.763962,318.276367,0.146455,0.34334,6585.711426,0.768865,1.368822,86.213539,0.907511,0.027935,0.15767,0.395067,1,0,11,4,0,1,11,4,0
main\java\org\apache\hadoop\hbase\io\hfile\CacheConfig.java,319,161,98,6,24,1,81,107,188,283,191,474,2322.542178,3.45913795,28.96763989,11994.98493,37.02155842,24,1,0,16,67,123,main\java\org\apache\hadoop\hbase\io\hfile\CacheConfig.java,50,190,2450,7.755102,,,2,4,63.606911,32.559425,1130,0.461224,219.669052,8.966084,44,129,1892,6.818182,,,2,4.545455,49.244061,35.708691,881.5,0.465909,24.035715,1.270387,7,8,42,19.047619,,,2,28.571428,53.347733,61.827286,17,0.404762,7,16.666666,50,5.399568,0.004218,7,44,0.75594,4.75162,0.077551,1225,0.052244,7.388413,-5.607136,-6.317316,212236,502929,0.436307,0.184121,121.6092,305.083435,0.131186,0.329108,7074.019531,0.825873,0.381085,43.980392,0.879608,0.041812,0.131854,0.299244,0,0,1,0,0,0,1,0,0
main\java\org\apache\hadoop\hbase\io\hfile\Compression.java,281,214,104,4,10,2,41,31,72,94,55,149,681.6513194,0.421671904,25.70148307,5742.905894,17.72501819,10,1,0,7,16,6,main\java\org\apache\hadoop\hbase\io\hfile\Compression.java,30,82,870,9.425287,,,1,3.333333,53.779697,41.673641,394,0.452874,5.166667,0.59387,29,60,812,7.389163,,,3,10.344828,36.285099,40.677967,376,0.463054,0,0,1,0,0,,0,0,1,100,39.848812,100,0,,0,,30,3.239741,0.002531,1,29,0.107991,3.131749,0.094253,435,0.033266,4.704488,-1.550517,-1.746901,211636,854702,0.437544,0.108342,3.333333,269.572266,0.003596,0.290801,6.287034,0.000734,0.113893,25.85,0.861667,0.052558,0.038884,0.218458,0,1,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\regionserver\HRegionServer.java,3518,2467,1633,35,461,6,1863,2464,4327,7470,4500,11970,69449.9761,25.72241988,796.7597204,635054.7924,1960.045656,461,1,3,187,1306,11128,main\java\org\apache\hadoop\hbase\regionserver\HRegionServer.java,145,831,20880,3.979885,,,5,3.448276,83.153351,16.663059,10024.5,0.480101,5934.789063,28.423319,48,112,2256,4.964539,,,3,6.25,47.192226,35.241936,1072,0.475177,359.166656,15.920508,103,401,10506,3.816867,,,5,4.854369,81.965446,20.602606,5052.5,0.480916,2784.416748,26.503111,145,15.658748,0.012232,103,48,11.12311,5.183585,0.039799,10440,0.131094,18.539547,1.785549,2.011701,212311,502395,0.436153,0.184317,217.664017,302.942902,0.234805,0.326799,75771.34375,8.846108,5.820003,136.026489,0.938114,0.020212,0.140213,0.475207,5,3,25,9,0,8,25,9,0
test\java\org\apache\hadoop\hbase\util\TestMiniClusterLoadSequential.java,103,84,49,3,12,2,45,60,105,124,88,212,1037.001131,0.968986331,24.3787394,6657.773961,20.54868507,12,1,2,21,340,28,test\java\org\apache\hadoop\hbase\util\TestMiniClusterLoadSequential.java,15,44,210,20.952381,,,1,6.666667,58.531319,39.389534,83,0.395238,11.916667,5.674603,2,0,2,0,,,2,100,1.403888,100,1,0.5,0,0,13,36,156,23.076923,,,1,7.692307,58.531319,39.765224,60,0.384615,0,0,15,1.61987,0.001265,13,2,1.403888,0.215983,0.209524,105,0.028236,3.993236,-7.511931,-8.463367,855625,498189,0.108225,0.185873,136.821075,3.5,0.147596,0.003776,464.493591,0.054228,0.082991,10.766666,0.717778,0.107026,0.011546,0.256885,0,0,3,0,0,0,3,0,0
main\java\org\apache\hadoop\hbase\util\Threads.java,164,88,49,4,21,2,132,95,227,255,156,411,1909.343867,4.336582746,84.10468145,18874.45368,58.25448667,21,1,0,13,21,45,main\java\org\apache\hadoop\hbase\util\Threads.java,36,135,1260,10.714286,,,1,2.777778,61.447083,32.092499,562.5,0.446429,1.033333,0.082011,36,135,1260,10.714286,,,1,2.777778,61.447083,32.092499,562.5,0.446429,1.033333,0.082011,1,0,0,,0,0,1,100,39.848812,100,0,,0,,36,3.887689,0.003037,1,36,0.107991,3.887689,0.107143,630,0.047191,6.673854,-3.292815,-3.709872,155714,855627,0.59468,0.108225,2.833333,345.633606,0.003056,0.372852,0.897436,0.000105,0.125078,30.18919,0.838589,0.048569,0.098974,0.23049,0,0,0,2,0,0,0,2,0
main\java\org\apache\hadoop\hbase\io\encoding\DataBlockEncoding.java,147,84,43,3,18,2,85,71,156,169,107,276,1294.220802,1.600314394,33.49115403,7196.829781,22.2124376,18,2,0,17,33,57,main\java\org\apache\hadoop\hbase\io\encoding\DataBlockEncoding.java,27,65,702,9.259259,,,1,3.703704,52.483803,45.548267,318.5,0.453704,4.916667,0.70038,26,47,650,7.230769,,,4,15.384615,33.801296,44.586895,301.5,0.463846,0,0,1,0,0,,0,0,1,100,39.416847,100,0,,0,,27,2.915767,0.002278,1,26,0.107991,2.807775,0.092593,351,0.027001,3.818548,-1.566675,-1.765105,212480,503561,0.435806,0.18389,78.691429,271.199738,0.084888,0.292556,786.627014,0.091837,0.349821,23.185184,0.858711,0.059551,0.031763,0.237352,0,0,0,0,0,0,0,0,1
test\java\org\apache\hadoop\hbase\HBaseTestingUtility.java,1840,1059,684,9,195,4,1067,1332,2399,3344,2295,5639,30237.55254,33.26819453,435.2850555,246593.8873,761.0922449,195,1,0,85,1064,4404,test\java\org\apache\hadoop\hbase\HBaseTestingUtility.java,222,1619,49062,3.299906,,,3,1.351351,84.341255,13.007995,23721.5,0.4835,5941.263672,12.109706,181,173,32580,0.531001,,,65,35.911602,58.315334,19.403521,16203.5,0.497345,509.083344,1.562564,45,250,1980,12.626263,,,2,4.444445,80.129593,20.174007,865,0.436869,465.493195,23.509758,222,23.974083,0.018728,45,181,4.859611,19.546436,0.032999,24531,0.213253,30.158571,4.712147,5.308971,212135,502512,0.436514,0.184274,183.893829,375.776428,0.198375,0.405368,53679.39844,6.266931,4.838842,209.407074,0.943275,0.020253,0.255967,0.562771,1,3,15,4,0,4,15,4,0
