class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
hbase-common\src\main\java\org\apache\hadoop\hbase\types\OrderedInt8.java,41,26,11,2,9,1,46,35,81,58,43,101,392.3522136,1.392501656,28.52247792,1975.678276,6.097772457,9,2,0,7,33,28,hbase-common\src\main\java\org\apache\hadoop\hbase\types\OrderedInt8.java,3,3,6,50,,,1,33.333332,1.885681,57.142857,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,1.885681,57.142857,1.5,0.25,0,0,3,0.176783,0.00014,3,0,0.176783,0,0.5,3,0.000019,0.002623,8.773243,3.749298,2881506,2864559,0.058893,0.059241,5.85,1,0.003445,0.000589,0,0,0,1,0.333333,0.422324,0.000656,0.125397,0,0,0,0,0,0,0,0,1
hbase-common\src\main\java\org\apache\hadoop\hbase\util\Order.java,67,35,9,1,6,0,26,9,35,30,10,40,127.1744602,10.81228251,6.34626178,164.7357764,0.508443754,6,2,2,1,23,15,hbase-common\src\main\java\org\apache\hadoop\hbase\util\Order.java,30,30,870,3.448276,,,11,36.666668,2.416028,34.453781,420,0.482759,0,0,30,30,870,3.448276,,,11,36.666668,2.416028,34.453781,420,0.482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.767826,0.001399,0,30,0,1.767826,0.034483,435,0.000877,0.124066,0.000113,0.000048,2815333,2881506,0.060277,0.058893,1,35.333336,0.000589,0.020809,0,0,1.615196,28,0.933333,0.088299,0.193107,0.413492,0,0,0,0,0,0,0,0,1
hbase-common\src\main\java\org\apache\hadoop\hbase\util\OrderedBytes.java,1466,873,674,46,241,3,993,1097,2090,3870,2640,6510,36535.15916,10.03033927,500.5841835,604436.5115,1865.544789,241,1,0,18,80,1498,hbase-common\src\main\java\org\apache\hadoop\hbase\util\OrderedBytes.java,14,23,182,12.637362,,,1,7.142857,2.533883,46.739132,79.5,0.436813,11,6.043956,12,10,132,7.575758,,,2,16.666666,0.883913,32.608696,61,0.462121,0,0,2,0,2,0,,,2,100,2.474956,91.304344,1,0.5,0,0,14,0.824985,0.000653,2,12,0.117855,0.70713,0.126374,91,0.000119,0.016874,1.925676,0.822949,2861142,2867946,0.059312,0.059171,4.783333,13,0.002817,0.007656,71,0.002467,0.118145,10.714286,0.765306,0.272314,0.300999,0.606548,0,0,0,1,0,0,0,1,0
hbase-common\src\main\java\org\apache\hadoop\hbase\types\OrderedBytesBase.java,25,16,6,1,6,0,14,7,21,15,11,26,88.2951798,1.709823981,4.85192841,229.1600686,0.707284162,6,1,10,4,23,14,hbase-common\src\main\java\org\apache\hadoop\hbase\types\OrderedBytesBase.java,12,21,132,15.909091,,,1,8.333333,1.885681,42.666668,55.5,0.420455,0,0,10,0,90,0,,,10,100,0.766058,41.935482,45,0.5,0,0,2,1,2,50,,,1,50,1.885681,72.727272,0.5,0.25,0,0,12,0.70713,0.00056,2,10,0.117855,0.589275,0.159091,66,0.000022,0.003082,3.906204,1.66934,2864536,2866256,0.059242,0.059206,4.85,11,0.002856,0.006478,0,0,0.001042,8.5,0.708333,0.341852,0.335103,0.637699,0,0,0,0,0,0,0,0,1
hbase-server\src\test\java\org\apache\hadoop\hbase\filter\TestInclusiveStopFilter.java,52,31,17,1,4,0,16,28,44,68,61,129,608.799102,0.286687489,15.250639,5624.009881,17.35805519,4,1,0,4,26,2,hbase-server\src\test\java\org\apache\hadoop\hbase\filter\TestInclusiveStopFilter.java,3,1,6,16.666666,,,2,66.666664,32.174427,94.62738,2.5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,16.666666,,,2,66.666664,32.174427,94.62738,2.5,0.416667,0,0,3,0.176783,0.00014,3,0,0.176783,0,0.166667,3,0.005049,0.713978,-23.05834,-9.85412,2881506,1897305,0.058893,0.089443,93.161888,1,0.054866,0.000589,0,0,0.001082,2.333333,0.777778,0.354876,0.003104,0.030936,0,0,0,0,0,0,0,0,1
hbase-common\src\main\java\org\apache\hadoop\hbase\util\Bytes.java,1892,1023,627,8,213,3,1570,901,2471,3675,2046,5721,28361.07414,247.0440414,820.8834377,416129.4858,1284.350265,213,1,0,36,112,4796,hbase-common\src\main\java\org\apache\hadoop\hbase\util\Bytes.java,527,3488,277202,1.258288,,,29,5.502846,80.141426,11.772853,136857,0.493709,1166.578613,0.420841,524,3204,274052,1.169121,,,31,5.91603,76.134354,11.858651,135424,0.494154,0,0,3,0,6,0,,,3,100,38.538597,99.543381,3,0.5,0,0,527,31.054802,0.024573,3,524,0.176783,30.878019,0.012583,138601,0.254446,35.984104,-1.775218,-0.75865,840953,2874719,0.201795,0.059032,4.5,828.966553,0.00265,0.488202,2663.898682,0.092557,21.475399,515.809326,0.978765,0.010512,0.328044,0.55146,2,0,0,0,0,2,0,0,0
hbase-client\src\main\java\org\apache\hadoop\hbase\filter\Filter.java,223,34,2,1,16,0,79,47,126,82,52,134,476.552389,5.942763419,59.65280161,2833.2734,8.744670987,16,1,4,7,29,120,hbase-client\src\main\java\org\apache\hadoop\hbase\filter\Filter.java,39,79,1482,5.330634,,,3,7.692307,28.167355,46.317829,701.5,0.473347,42.283333,2.853126,37,57,1332,4.279279,,,6,16.216217,21.6264,46.338383,637.5,0.478604,0,0,2,0,2,0,,,2,100,13.730112,97.083336,1,0.5,0,0,39,2.298173,0.001819,2,37,0.117855,2.180318,0.053306,741,0.014227,2.011951,-0.806482,-0.344655,1183151,2862851,0.143431,0.059277,7,378.070068,0.004122,0.222656,147.37735,0.005121,0.194328,35.589745,0.912558,0.042346,0.045485,0.240253,0,0,0,0,0,0,0,0,1
hbase-client\src\main\java\org\apache\hadoop\hbase\filter\InclusiveStopFilter.java,86,59,30,4,17,2,87,57,144,182,97,279,1304.988088,1.558376812,44.14650598,11008.09358,33.97559747,17,3,0,10,76,25,hbase-client\src\main\java\org\apache\hadoop\hbase\filter\InclusiveStopFilter.java,11,15,110,13.636364,,,2,18.181818,33.706539,68.998795,47.5,0.431818,16,14.545455,7,0,42,0,,,7,100,5.067767,47.513813,21,0.5,0,0,4,3,12,25,,,2,50,32.763702,85.802467,4.5,0.375,0,0,11,0.648203,0.000513,4,7,0.23571,0.412493,0.136364,55,0.008565,1.211237,-23.739933,-10.145403,2845885,1898436,0.05963,0.089389,108.670708,14.666666,0.063999,0.008638,598.433899,0.020793,0.004065,8.409091,0.764463,0.109659,0.021256,0.085581,0,0,2,0,0,0,2,0,0
hbase-server\src\test\java\org\apache\hadoop\hbase\procedure\TestZKProcedure.java,346,248,185,4,22,1,132,319,451,875,693,1568,10394.4906,0.841601682,67.56565171,146177.4392,451.1649359,22,1,0,25,277,60,hbase-server\src\test\java\org\apache\hadoop\hbase\procedure\TestZKProcedure.java,13,43,156,27.564102,,,1,7.692307,48.320564,61.102833,56.5,0.362179,0.125,0.080128,1,0,0,,0,0,1,100,0.883913,100,0,,0,,12,32,132,24.242424,,,2,16.666666,48.320564,61.793518,50,0.378788,0,0,13,0.766058,0.000606,12,1,0.70713,0.058928,0.275641,78,0.012573,1.778022,51.166382,21.866261,2879809,1897007,0.058928,0.089457,186.818863,2,0.110023,0.001178,0.25,0.000009,0.037018,7.884615,0.606509,0.142092,0.009424,0.350643,0,0,0,0,0,0,0,0,1
hbase-server\src\test\java\org\apache\hadoop\hbase\HBaseTestingUtility.java,3104,1758,1104,11,330,5,1983,2333,4316,5806,3968,9774,51433.16138,65.08699098,858.213012,450158.5287,1389.378175,330,2,1,114,1567,14317,hbase-server\src\test\java\org\apache\hadoop\hbase\HBaseTestingUtility.java,368,2663,135056,1.971775,,,11,2.98913,73.364761,13.040746,66196.5,0.490141,13579.34082,10.054601,318,322,100806,0.319425,,,98,30.81761,50.38303,18.03417,50242,0.498403,1909.333374,1.894067,55,240,2970,8.080808,,,1,1.818182,65.704185,21.290815,1365,0.459596,803.791687,27.063692,368,21.685328,0.017159,55,318,3.241014,18.738951,0.019718,67528,0.212821,30.097469,1.434226,0.612925,1201209,1898209,0.141274,0.0894,260.282837,556.117432,0.153288,0.327513,169215.6563,5.879398,5.762512,355.042908,0.96479,0.014889,0.310606,0.556806,0,0,2,1,0,0,2,1,0
