class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
contrib\stargate\src\java\org\apache\hadoop\hbase\stargate\SchemaResource.java,181,164,105,7,33,4,145,220,365,533,366,899,5063.467297,1.578171221,57.44211749,38930.74238,120.1566123,33,2,0,18,172,20,contrib\stargate\src\java\org\apache\hadoop\hbase\stargate\SchemaResource.java,16,27,240,11.25,,,3,18.75,65.820313,40.602409,106.5,0.44375,13.5,5.625,1,0,0,,0,0,1,100,1.367188,100,0,,0,,15,26,210,12.380953,,,3,20,65.820313,40.947754,92,0.438095,0,0,16,3.125,0.003097,15,1,2.929688,0.195313,0.1125,120,0.044475,6.289732,15,43.732182,261633,178495,0.195694,0.286843,68.75,2.5,0.134016,0.004873,86.576187,0.033091,0.901771,13.28125,0.830078,0.082238,0.006574,0.141945,0,0,0,0,0,0,0,0,1
java\org\apache\hadoop\hbase\HColumnDescriptor.java,636,323,197,8,76,2,387,363,750,953,605,1558,7574.685026,12.99684984,175.7398947,61853.97371,190.9073263,76,1,1,28,68,681,java\org\apache\hadoop\hbase\HColumnDescriptor.java,76,239,5700,4.192983,,,2,2.631579,73.4375,24.543081,2730.5,0.479035,104.083336,1.826023,73,171,5256,3.253425,,,4,5.479452,60.9375,24.470589,2542.5,0.483733,0,0,3,0,6,0,,,3,100,45.507813,90.661476,3,0.5,0,0,76,14.84375,0.014712,3,73,0.585938,14.257813,0.04193,2850,0.15033,21.25983,3,8.746436,54429,191638,0.940675,0.26717,29.123379,196.649887,0.056771,0.383333,429.791321,0.164273,3.212107,70.980263,0.933951,0.031981,0.221375,0.288652,0,0,1,0,0,0,1,0,0
java\org\apache\hadoop\hbase\HTableDescriptor.java,624,389,240,9,94,3,444,389,833,1162,742,1904,9392.204518,16.11081869,169.2760052,68828.25179,212.4328759,94,1,1,29,93,928,java\org\apache\hadoop\hbase\HTableDescriptor.java,103,495,10506,4.711593,,,2,1.941748,79.882813,18.465012,5005.5,0.476442,606.93335,5.777016,100,340,9900,3.434343,,,3,3,73.046875,19.777895,4780,0.482828,495.100006,5.00101,4,3,12,25,,,1,25,57.617188,68.287041,4.5,0.375,2,16.666666,103,20.117188,0.019938,4,100,0.78125,19.53125,0.047116,5253,0.208889,29.541365,4,11.661915,54208,191274,0.94451,0.267679,52.199978,233.433228,0.101754,0.455036,12731.10742,4.866036,4.022451,94.8125,0.92051,0.030675,0.210186,0.442091,0,0,4,0,0,0,4,0,0
java\org\apache\hadoop\hbase\TableExistsException.java,15,8,3,1,2,0,5,3,8,6,4,10,30,0.5169925,1.934264036,58.02792109,0.179098522,2,4,0,1,41,1,java\org\apache\hadoop\hbase\TableExistsException.java,3,0,6,0,,,3,100,15.234375,87.64045,3,0.5,0,0,3,0,6,0,,,3,100,15.234375,87.64045,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.585938,0.000581,0,3,0,0.585938,0,3,0.007068,0.999534,0,0,54850,262656,0.933455,0.194932,1,95.648331,0.001949,0.186449,0,0,0.003862,3,1,0.333333,0,0,0,0,0,0,0,0,0,0,1
java\org\apache\hadoop\hbase\TableNotFoundException.java,13,9,3,1,2,0,5,3,8,6,4,10,30,0.9509775,1.051549589,31.54648768,0.097365703,2,5,0,1,43,1,java\org\apache\hadoop\hbase\TableNotFoundException.java,5,0,20,0,,,5,100,6.445313,63.46154,10,0.5,4,20,4,0,12,0,,,4,100,5.859375,62.5,6,0.5,0,0,1,0,0,,0,0,1,100,0.78125,100,0,,0,,5,0.976563,0.000968,1,4,0.195313,0.78125,0,10,0.005089,0.719751,1,2.915479,259587,262144,0.197236,0.195313,2,5.833333,0.003899,0.011371,3,0.001147,0.017332,5,1,0.2,0,0,0,0,0,0,0,0,0,0,1
java\org\apache\hadoop\hbase\client\HBaseAdmin.java,811,445,265,21,121,6,556,496,1052,1478,891,2369,12968.25028,11.70734517,226.4340717,126062.2053,389.0808806,121,1,1,32,123,833,java\org\apache\hadoop\hbase\client\HBaseAdmin.java,72,280,5112,5.477308,,,3,4.166667,74.609375,22.068169,2416,0.472613,766.416687,14.992501,54,18,2862,0.628931,,,38,70.370369,41.796875,29.395605,1422,0.496855,0,0,18,36,306,11.764706,,,4,22.222221,67.773438,34.59621,135,0.441176,0,0,72,14.0625,0.013937,18,54,3.515625,10.546875,0.054773,2556,0.146366,20.699318,18,52.478619,54873,191223,0.933064,0.26775,61.916626,152.276154,0.120695,0.296835,3665.603271,1.401053,2.928504,65.75,0.913194,0.033269,0.149924,0.350982,2,1,1,0,0,3,1,0,0
java\org\apache\hadoop\hbase\client\HTable.java,2203,944,477,7,141,3,1256,992,2248,2572,1608,4180,20003.78421,28.82435879,610.505676,158436.7913,489.0024423,141,1,1,43,269,5602,java\org\apache\hadoop\hbase\client\HTable.java,94,385,8742,4.404027,,,4,4.255319,69.53125,19.625137,4178.5,0.47798,1153.310669,13.192756,72,55,5112,1.0759,,,26,36.111111,42.382813,24.05765,2528.5,0.494621,0,0,22,41,462,8.874459,,,4,18.181818,61.328125,34.429825,210.5,0.455628,0,0,94,18.359375,0.018196,22,72,4.296875,14.0625,0.04404,4371,0.170434,24.103025,22,64.140533,54814,191319,0.934068,0.267616,56.176228,165.809448,0.109505,0.323215,4590.752441,1.75466,3.349636,87.138298,0.927003,0.029495,0.159576,0.428866,3,1,9,1,0,4,9,1,0
java\org\apache\hadoop\hbase\client\HTablePool.java,88,46,23,3,10,1,56,44,100,114,77,191,854.0076565,1.896624933,14.8865115,2694.422127,8.316117676,10,1,0,11,26,12,java\org\apache\hadoop\hbase\client\HTablePool.java,10,17,90,18.888889,,,1,10,57.421875,60.493828,36.5,0.405556,5.666667,6.296296,7,5,42,11.904762,,,2,28.571428,8.984375,50,18.5,0.440476,0,0,3,2,6,33.333332,,,1,33.333332,53.710938,69.796951,2,0.333333,0,0,10,1.953125,0.001936,3,7,0.585938,1.367188,0.188889,45,0.027155,3.840247,3,8.746436,247341,190850,0.207002,0.268274,44.592896,16.666666,0.086926,0.032489,144.667542,0.055294,0.061255,7,0.7,0.144197,0.026947,0.182975,0,1,1,0,0,1,1,0,0
contrib\stargate\src\java\org\apache\hadoop\hbase\stargate\model\ColumnSchemaModel.java,192,102,54,2,30,1,158,156,314,267,208,475,2028.202477,5.410151884,64.49026726,9274.373444,28.62460939,30,1,0,13,31,54,contrib\stargate\src\java\org\apache\hadoop\hbase\stargate\model\ColumnSchemaModel.java,3,1,6,16.666666,,,2,66.666664,4.6875,80,2.5,0.416667,0,0,3,1,6,16.666666,,,2,66.666664,4.6875,80,2.5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.585938,0.000581,0,3,0,0.585938,0.166667,3,0.002332,0.329836,0,0,252454,262656,0.202809,0.194932,1,9.783333,0.001949,0.019071,0,0,0.193937,2.333333,0.777778,0.366946,0.00206,0.048611,0,0,0,0,0,0,0,0,1
contrib\stargate\src\java\org\apache\hadoop\hbase\stargate\model\TableSchemaModel.java,293,199,122,8,48,2,170,238,408,656,484,1140,5943.555709,4.406488812,82.05172172,41264.11457,127.3583783,48,1,0,30,128,136,contrib\stargate\src\java\org\apache\hadoop\hbase\stargate\model\TableSchemaModel.java,12,15,132,11.363636,,,3,25,53.710938,56.237217,58.5,0.443182,23.333334,17.676767,5,1,20,5,,,4,80,8.007813,74.545456,9.5,0.475,0,0,7,5,42,11.904762,,,4,57.142857,50.78125,59.907833,18.5,0.440476,0,0,12,2.34375,0.002323,7,5,1.367188,0.976563,0.113636,66,0.028334,4.007037,7,20.408352,253463,188849,0.202002,0.271116,43.785751,10.916666,0.085352,0.02128,195.166672,0.074596,1.150943,10,0.833333,0.109579,0.01246,0.137976,0,0,0,0,0,0,0,0,1
