,BPP,BCE,MFM
4,0.000574958,0.001241616,4.14E-05
6,0.000265073,0.000482811,1.93E-05
8,0.000270955,0.000501932,8.80E-05
10,0.000698773,0.001144354,3.64E-05
12,0.000289073,0.000695468,6.95E-05
