"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-6.23434669643089,0.924872916197349,-6.74076036528743,1.57559885764006e-11
"LOCE",-0.000322678148656718,5.73566794472876e-05,-5.62581641347052,1.84632630356886e-08
"CCMax",0.00234249461000992,0.00123453241924541,1.89747516832465,0.0577652530696674
"NMax",-0.0903901024794234,0.0285954123096273,-3.16100014578183,0.001572284197846
"n1",0.00134086273688098,0.000239324508098344,5.60269713927496,2.11041791595082e-08
"L",-0.00813757561044689,0.00331395693777279,-2.45554657566428,0.0140670522648203
"D",6.79674316836274e-05,2.82082157204865e-05,2.40949063766076,0.015974805928625
"Density",0.0143709795837323,0.00400835955813613,3.58525211506094,0.000336752730386409
"nWeakComp",-0.0348543405854903,0.0179818663739284,-1.93830494903604,0.052586028975285
"X2StepReach",0.0158511612396302,0.00426672196715599,3.71506776435116,0.000203149245591037
"nEgoBetween",0.0259807539188053,0.00715550582029515,3.63087593963185,0.000282460942962876
"Density2",0.0027918618679783,0.00182259677121141,1.53180446277356,0.125570694472821
"pWeakComp2",0.00192773365504729,0.00097060252988373,1.98612057530719,0.0470199371618193
"X2StepReach2",0.0840584238359941,0.0151592950779922,5.54500874899042,2.9393947287972e-08
"Broker2",-3.02560021542517e-06,9.60451576400486e-07,-3.15018506894882,0.0016316706661394
"nEgoBetween2",0.00623091724833592,0.00345994336022919,1.80087261541853,0.071722960146792
"Ties3",0.00401973443113066,0.000724754626571137,5.54633842097469,2.91713951940681e-08
"Pairs3",-0.000120304573826887,0.000102920563695147,-1.16890706295811,0.242441077554348
"nWeakComp3",0.128532519734267,0.0413226903133393,3.11045865503039,0.00186797044145747
"pWeakComp3",-0.0185176623140423,0.00291759320237842,-6.34689657864117,2.19701716957167e-10
"nBroker3",-0.845020698966181,0.230218162293293,-3.67052143301206,0.000242056170845724
"nEgoBetween3",-0.028725915121119,0.0113068829621827,-2.54056889216918,0.0110672287810125
"Eigenvec",-21.9000536152513,7.83583714581178,-2.79485818907771,0.00519224858851846
"outCloseness",277.255502406491,96.1857747694223,2.88250006896686,0.00394533049592562
"Betweenness2",1.38010352436831e-06,5.08291373628623e-07,2.71518187396323,0.00662393821237781
"Efficiency",0.825168569462639,0.454919033015954,1.81388007442129,0.0696961910191382
"Hierarchy",0.615879872979025,0.275205664737539,2.23788952006633,0.0252282606232422
