"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.25358828265183,0.908984956514156,-1.37910784294955,0.167861506059113
"CCSum",-0.000528088276655388,0.000313931244114395,-1.68217814109307,0.0925343014804985
"NMax",-0.0632250575146171,0.0271620173090525,-2.32770109801623,0.0199279808065464
"L",0.0110432089200803,0.0027601692298949,4.00091733523918,6.30973992604327e-05
"D",0.00016232845712717,3.63183728562428e-05,4.4695960848716,7.83674484489842e-06
"T",-4.63279777485931e-07,1.87237651122314e-07,-2.47428748816813,0.0133502219261852
"nWeakComp",-0.100135745027784,0.0372171466013525,-2.69058093304081,0.00713277314855188
"pWeakComp",-0.00990140411229287,0.00487044108501504,-2.0329583993443,0.0420567261023621
"ReachEffic",-0.0108991026694702,0.00271520670340612,-4.0140968478745,5.96738427480763e-05
"nBroker",-1.99926406983629,0.382927265130323,-5.22100213771896,1.77957486649597e-07
"EgoBetween",-6.50656989639424e-05,1.77355838715862e-05,-3.66865277371459,0.000243831972941828
"nEgoBetween",0.0389887738660831,0.00656482331160252,5.93904390346276,2.86689090380308e-09
"Density2",0.00479871189059609,0.00171927301427028,2.79112848905667,0.00525246167904167
"X2StepReach2",-0.0891259960971997,0.0275817745237673,-3.23133654871986,0.00123212771013133
"Ties3",0.00880682623074682,0.000889427012587021,9.90168513673871,4.09319096025411e-23
"Pairs3",-0.000403031470956731,0.00011948607652375,-3.37304130056207,0.00074342800614385
"Density3",0.0110899605725225,0.00326550777262126,3.39609069851347,0.00068355705094607
"nWeakComp3",0.212173944159703,0.0528854986568335,4.01194939158028,6.02194115101361e-05
"pWeakComp3",-0.0122203228663841,0.00301248968941599,-4.05655259479183,4.98023516902615e-05
"X2StepReach3",-0.0175702546899592,0.00450924013513147,-3.89650011164174,9.75927625966949e-05
"nBroker3",-0.421094358115027,0.24212423689299,-1.73916648543176,0.0820054827328219
"EgoBetween3",-0.00215218252839493,0.000422608779525839,-5.09261196799947,3.53164020481256e-07
"Clus.Coef",1.879713005818,0.237356760472228,7.91935735084292,2.38741288613091e-15
"Eigenvec",30.7560996384925,6.31453995081693,4.87067939676484,1.11215171856082e-06
"inCloseness",18.77458700412,6.62554346861369,2.83366747091138,0.00460171888486424
"outCloseness",-220.166072982453,94.7096084686878,-2.32464347115575,0.0200910322858918
"Betweenness",1.73911178479304e-06,5.13997231195839e-07,3.38350418882006,0.000715671157786554
"Efficiency",2.38921650841099,0.32292384777112,7.39869949185172,1.37524672931444e-13
"Indirectsfile",0.944984340661086,0.373853451725852,2.52768654749254,0.011481680923844
