,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-2.827857108,0.047978835,-58.93967879,0
LOC,0.00042977,0.000108749,3.951951302,7.75E-05
LOCE,-0.000740734,5.70E-05,-12.99573633,1.29E-38
NMax,0.206691734,0.019932507,10.36958031,3.41E-25
n1,0.002094448,0.000247649,8.457341801,2.74E-17
D,0.000104253,2.92E-05,3.574103808,0.000351429
