version, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
1.4.0all_bug.csv,20,19,5440.752328451,10524,7040.88305324114,10544,5482.752328451,7,,, 
2.6.0all_bug.csv,19,18,3304.31982257984,10128,4097.09920305675,10147,3344.31982257984,7,,, 
3.8.0all_bug.csv,22,17,3193.74452420845,9989,4117.52477921289,10011,3239.74452420845,7,,, 
4.10.0all_bug.csv,19,15,5400.50619949556,10935,7242.65390552646,10954,5440.50619949556,7,,, 
5.12.0all_bug.csv,18,15,4492.43475654792,11168,5533.75235185566,11186,4530.43475654792,6,,, 
