,BPP,BCE,MFM
2,0.000353629,0.000889335,1.30E-05
4,0.00011467,0.000388668,2.80E-06
6,0.000147031,0.000328869,1.02E-05
8,0.00028977,0.000801034,2.57E-05
10,0.000249434,0.000495827,4.65E-06
