"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"CL",4497278,402.009296504872,1995.82834154406,3983330.76891053,0,0,121,362,140534,51.3025801417088,3264.18721110447,0
"LOC",2519351,225.203450433539,1024.6125517414,1049830.88118602,0,0,36,181,58528,36.9362655035497,1844.49140081759,0
"LOCE",1530446,136.805756681863,1502.96877429367,2258915.13650181,0,0,0,34,115157,64.356590646902,4614.52359933282,0
"CCMax",70710,6.32072941807455,22.1150164282639,489.07395162238,0,0,1,5,745,16.3778784717295,395.823640223416,0
"CCSum",380521,34.014570483597,147.530347202537,21765.203345701,0,0,2,25,9126,36.8883483038901,2062.9907862835,0
"NMax",13174,1.17761687673192,1.69954073123167,2.88843869711547,0,0,0,2,14,1.4725571700411,4.99548280440522,0
"n1",1132653,101.2472512738,402.792149665999,162241.515832556,0,0,7,87,25472,38.0481744322858,2183.0255348427,0
"n2",1772022,158.400107267364,760.424287256379,578245.096649372,0,0,7,122,51273,45.1534073956412,2795.62681287695,0
"n",2904675,259.647358541164,1159.27979523775,1343929.64364647,0,0,14,212,76745,42.9747733779841,2604.92238159996,0
"N1",5712504,510.637704478412,3222.21485661825,10382668.5822114,0,0,12,341,236737,56.5882883281006,3867.77965625891,0
"N2",4298760,384.263877715205,2492.74702625562,6213787.73690622,0,0,9,255,184176,57.4473578376235,3950.12688444109,0
"N",10011264,894.901582193618,5713.79188771836,32647417.7361561,0,0,21,595,420913,56.9932892966293,3906.70043799637,0
"V",60902711.6339229,5444.06110967398,41831.6770427413,1749889204.20821,0,0,76.10749561,3225.4225515,3167373.21,61.0690710101987,4305.40906562602,0
"L",22971.772839541,2.05343459725941,10.6075256604673,112.519600637473,0,0,0.017739783,1.0073340205,479.9382136,20.6592237059854,626.01195087412,0
"D",3624633.43073189,324.004061029041,1424.41014083148,2028944.24930355,0,0,5.524980806,160.84341505,56759.23913,16.5205851304754,446.20850850347,0
"E",39202144907.0537,3504258.95298594,77744210.7187014,6044162300273840,0,0,410.0738139,107994.5686,4595784249,40.0555159171691,1868.32241044364,0
"T",120994274.413047,10815.6140531909,239951.267684882,57576610863.5821,0,0,1.265659919,333.3165698,14184519.29,40.0555159226259,1868.32241101058,0
"Size",176334,15.7624027889515,68.7087505865944,4720.89240717084,0,0,6,16,2891,25.3030087359726,836.579031272412,0
"Ties",1168866,104.484312148029,801.044994118911,641673.082602966,0,0,8,60,39572,31.1697618403248,1231.77043266193,0
"Pairs",55411016,4953.16134799321,138297.422876986,19126177174.4159,0,0,30,240,8354990,47.1503760110155,2529.12807697791,0
"Density",188114.573839,17.4390074941133,16.4583021446407,270.875709484284,0,0,16.666666,29.545454,100,0.677146884958902,3.28850257233178,NA
"nWeakComp",12489,1.11638508983642,2.72466248913363,7.42378567969185,0,0,1,1,144,26.3709418369527,1056.3711861909,0
"pWeakComp",179869.171573,16.0784099019398,25.8886500781802,670.222202870462,0,0,5.882353,16.666666,100,2.26840064452712,7.34155998023164,0
"X2StepReach",117885.330642,10.5377072174846,13.0705397689966,170.839009852921,0,0,2.759821,25.087021,44.695839,0.785599712901947,1.83030936378063,0
"ReachEffic",392382.440501,35.099958896234,32.2631161596764,1040.90866433277,0,0,28.655424,59.8149755,100,0.528672729816361,2.06715538523916,NA
"Broker",27121075,2424.33851792259,68780.2099752609,4730717284.24097,0,0,9.5,94,4157709,47.2146991994413,2535.10811764799,0
"nBroker",2746.927095,0.254651626494855,0.182368214764429,0.0332581657563649,0,0,0.333333,0.4,0.5,-0.511782633437742,1.5714744925823,NA
"EgoBetween",755849.234431,67.56496240556,947.433731742726,897630.676043947,0,0,0,6,64260.11328,41.9390146037046,2339.73467475525,0
"nEgoBetween",34827.628607,3.22866678474089,6.42961483383685,41.3399469114949,0,0,0,4.1081095,59.320515,3.54625645025685,20.1441704299213,NA
"Size2",92629,8.28005720926075,67.4995437937868,4556.18841236934,0,0,1,3,2890,26.7823219338585,904.808607058955,0
"Ties2",433675,38.7659783677483,656.021270890541,430363.907860841,0,0,0,1,37460,41.3093434675562,2025.8972618947,0
"Pairs2",51639868,4616.06042728167,137904.934401245,19017770932.2116,0,0,0,6,8349210,47.3088486258916,2543.19241994248,0
"Density2",86694.972985,9.20133442846529,19.0840182741434,364.19975348784,0,0,0,8.333333,100,2.60999006608268,10.203439882909,NA
"nWeakComp2",15908,1.42200768749441,5.39502242021808,29.1062669146557,0,0,1,1,231,18.4136386936638,540.228177243599,0
"pWeakComp2",348652.775088,31.1658867514079,40.8542445564852,1669.0692982811,0,0,0.462963,66.666664,100,0.860719430295718,2.00206564347208,0
"X2StepReach2",7367.098086,0.658540992759453,2.1273541296508,4.52563559294231,0,0,0.008288,0.505553,43.270348,8.99752005704724,116.785571144104,0
"ReachEffic2",384750.061825,34.4418639177334,39.7473291175638,1579.85017197993,0,0,0,70.588234,100,0.592042990826408,1.71231394442891,NA
"Broker2",25603096.5,2288.64722445696,68631.5602865963,4710291067.3727,0,0,0,2,4155875,47.3273572117784,2544.93395543975,0
"nBroker2",1484.0251,0.157506378688177,0.205345341816445,0.0421667094057124,0,0,0,0.392857,0.5,0.664542748877084,1.62664704949512,NA
"EgoBetween2",272676.269847,24.3743872215071,506.790568536185,256836.68035723,0,0,0,0,32185.3125,40.0813490134207,2010.67288467539,0
"nEgoBetween2",21442.299408,2.27576941286351,9.27257387267613,85.980626224236,0,0,0,0,100,5.60655773108348,40.5284730995243,NA
"Size3",87757,7.84455171180835,11.8301446372058,139.95232213721,0,0,3,11,193,3.27360534534879,23.719485971677,0
"Ties3",409705,36.6233127737553,94.9999447805972,9024.98950831652,0,0,2,30,1819,6.64021042208848,75.9558885046536,0
"Pairs3",2166164,193.632251720747,796.478570729712,634378.113631645,0,0,6,110,37056,19.2162558160516,627.025337588088,0
"Density3",188437.276858,17.9242154340341,18.1441155475373,329.208929002385,0,0,16.666666,30.21978,100,0.821040944020217,3.56013086149775,NA
"nWeakComp3",10397,0.92938231876285,1.05871824511065,1.12088432253018,0,0,1,1,47,11.1217396111221,410.487403894994,0
"pWeakComp3",228679.355624,20.4415263809779,30.0245904654456,901.476032617725,0,0,7.142857,25,100,1.75240180367629,4.89741323268723,0
"X2StepReach3",115900.66312,10.3602988397247,13.0271335107095,169.706207505849,0,0,2.685231,24.846676,44.662689,0.795407930832797,1.83913950161937,0
"ReachEffic3",401309.124596,35.8888503484171,34.4876487239448,1189.39791450621,0,0,27.4798195,62.113265,100,0.519516656807682,1.92467942907486,NA
"Broker3",878229.5,78.504469473496,359.685778518443,129373.859268418,0,0,2.5,39.5,18418,22.3439643006972,833.111219920383,0
"nBroker3",2416.813617,0.229888102064111,0.183165340841181,0.0335495420854661,0,0,0.309524,0.384615,0.5,-0.289179207288559,1.38178540951132,NA
"EgoBetween3",80780.844059,7.22095683016001,86.5181592677307,7485.39188307642,0,0,0,0,4080.157471,26.8209173652411,901.74385027332,0
"nEgoBetween3",11857.601184,1.12789890459431,4.95606978019824,24.5626276661943,0,0,0,0,100,8.28016013198176,99.9195765354834,NA
"Degree",176334,15.7624027889515,68.7087505865944,4720.89240717084,0,0,6,16,2891,25.3030087359726,836.579031272412,0
"OutDegree",87757,7.84455171180835,11.8301446372058,139.95232213721,0,0,3,11,193,3.27360534534879,23.719485971677,0
"InDegree",92629,8.28005720926075,67.4995437937868,4556.18841236934,0,0,1,3,2890,26.7823219338585,904.808607058955,0
"Clus.Coef",1881.145668,0.255070599050847,0.137982420619871,0.019039148400119,0,0.166667,0.25,0.333333,1,0.660826233227499,4.8418741759292,NA
"Eigenvec",38.065356,0.00340264199517297,0.00858386485947488,7.36827359257278e-05,0,0,3.1e-05,0.0031295,0.249633,11.6501965497246,251.281067662462,0
"Power",-4866.824636,-0.435042874407795,235.699722420552,55554.3591491251,-2841.105469,-4.1634415,1e-06,3.4968325,14902.45117,30.901336129907,1711.88612919577,0
"inCloseness",130.091311,0.0116287933315455,0.00619814900463778,3.84170510836923e-05,0.008288,0.008288,0.008289,0.008368,0.023415,1.32081431529344,2.74460196959912,0
"outCloseness",109.476424,0.00978603951014571,0.00113903812681143,1.2974078543301e-06,0.008288,0.008288,0.010638,0.010641,0.010869,-0.553416857310948,1.30910389541277,0
"Betweenness",135956330.132532,12153.0642828758,112206.730266601,12590350317.1218,0,0,0,88.511715,5062990.5,20.4349445765474,601.06277386399,0
"Betweenness2",87162361.005032,7791.39724725413,110734.727546862,12262179884.8778,0,0,27.462946,873.4208375,6863494,41.2774645077501,2079.97944647412,0
"OutdwReach",2859518.177266,255.61081409368,212.89523651246,45324.3817296964,1,1,314.726776,402.705933,838.695129,0.0100800402859589,1.71565352319273,0
"IndwReach",2951336.969095,263.81844722401,519.949238449141,270347.210563841,1,1,2,38.533329,4618.958008,2.01581481202948,7.20873229272032,0
"EffSize",140147.01255,12.5276671627782,67.3256950485528,4532.74921377073,0,0,3.571428,10.7669685,2869.225098,26.2727503863492,883.026553981573,0
"Efficiency",5448.336124,0.487023878072763,0.348038798430791,0.121131005213149,0,0,0.607639,0.7448455,1,-0.401153942261392,1.69769831177444,0
"Constraint",1583.631751,0.141560002771074,0.213204937475638,0.0454563453639908,0,0,0.067021,0.175277,1,2.60962754822133,10.2118388212535,0
"Hierarchy",603.170316,0.0775781756913183,0.221127056341608,0.0488971750463049,0,0.001172,0.007584,0.0415025,1,3.75468359789591,15.679017657021,NA
"Indirectsfile",1133.655902,0.101336900151962,0.131492943994853,0.0172903943204335,0,0,0.049203,0.1606955,0.770708,1.63833004040017,5.68209688191828,0
