"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"EgoBetween2",603320.685729,60.2597568646624,2477.74368805282,6139213.78368561,0,0,0,0,217331.5313,74.3576781189117,6152.83428065792,0
"nEgoBetween2",19128.060287,2.26287238696321,9.2862017756283,86.2335434176822,0,0,0,0,100,5.55610640738688,39.5726535118842,NA
"Size3",82593,8.24940071913704,12.620674113685,159.281415083839,0,0,3,12,195,3.13548441477416,21.4997170713788,0
"Ties3",419297,41.8794446664003,109.098115979012,11902.39891017,0,0,2,33,1888,6.17893841425079,63.5921022227905,0
"Pairs3",2193316,219.068717538953,868.141329144125,753669.367368128,0,0,6,132,37830,17.7740808411085,543.327505904455,0
"Density3",159063.065564,16.8499010131356,17.5172381620142,306.853632824726,0,0,16.569043,28.80564225,100,0.896057022421974,3.83399479915005,NA
"nWeakComp3",8929,0.891829804234918,1.01845186394819,1.03724419917954,0,0,1,1,45,9.89409781290522,368.040905456176,0
"pWeakComp3",192555.19538,19.2324406092689,29.607280183095,876.591039840291,0,0,5.882353,25,100,1.84844820746365,5.24809150824739,0
"X2StepReach3",126238.211977,12.6086907687775,15.39691243641,237.064912574475,0,0,2.517457,30.916943,45.837929,0.637499685112699,1.55626044179179,0
"ReachEffic3",326229.260438,32.6001059696213,33.9566789274383,1153.05604378113,0,0,20.170668,58.790924,100,0.70663201451865,2.14596919288347,NA
"Broker3",887009.5,88.5946364362765,389.917690829761,152035.805622013,0,0,2,46,18793,20.8807308733655,734.749510577374,0
"nBroker3",2136.184672,0.226290749152542,0.18597120913331,0.0345852906265051,0,0,0.318182,0.386364,0.5,-0.249155150857067,1.31847585238368,NA
"EgoBetween3",76063.863662,7.59726964262885,92.2302185626035,8506.4132161056,0,0,0,0,4379.922852,27.1136026132701,929.518729574948,0
"nEgoBetween3",9536.593544,1.01023236694915,4.72266582538797,22.3035724982874,0,0,0,0,100,8.79147461283732,109.702546198665,NA
"Degree",166901,16.6700958849381,77.8429768875459,6059.52905071501,0,0,6,17,3108,23.7497867710418,699.357537820462,0
"OutDegree",82593,8.24940071913704,12.620674113685,159.281415083839,0,0,3,12,195,3.13548441477416,21.4997170713788,0
"InDegree",87981,8.78755493407911,76.6367092795897,5873.18520920435,0,0,0,3,3105,24.9645522191944,748.946246336282,0
"Clus.Coef",1620.763726,0.251632312684366,0.135236235441687,0.0182888393764395,0,0.166667,0.246377,0.333333,1,0.677225779331283,4.94276428333232,NA
"Eigenvec",-37.892747,-0.00378473302037555,0.00900931880020727,8.11678252437682e-05,-0.23343,-0.004044,-5.8e-05,0,0,-11.201216213678,222.092569859114,0
"Power",8567.31545,0.855704699360767,142.317823967362,20254.363018805,-3104.015137,-4.37982525,-2e-06,1.3032375,3659.5979,3.29570220406787,203.879990078801,0
"inCloseness",119.435894,0.0119292742708749,0.00574279437658257,3.29796872517083e-05,0.009186,0.009186,0.009186,0.009235,0.024333,1.63975254176777,3.69035522096583,0
"outCloseness",104.426298,0.0104301136636037,0.00100028879630908,1.00057767602146e-06,0.009186,0.009186,0.011178,0.011181,0.011736,-0.416766303190825,1.22750346239805,0
"Betweenness",75315439.172805,7522.51689700409,97986.3030859199,9601315592.44576,0,0,0,49.104166,6485698.5,41.1643332036886,2296.18243408834,0
"Betweenness2",61601360.33963,6152.75273068618,92851.5992143623,8621419476.66456,0,0,18.5617945,626.92623925,6623642.5,47.0133279051801,2869.15153450172,0
"OutdwReach",2173990.076219,217.138441492109,189.172856205663,35786.3695250086,1,1,271.143814,370.46744525,727.161377,0.0527252271118314,1.58782111453849,0
"IndwReach",2276278.888624,227.355062787056,490.206879772269,240302.784976063,1,1,1,22.9500005,4549.943848,2.30924814341747,8.69952755995464,0
"EffSize",133281.505083,13.3121758972233,76.4226684217938,5840.42424870744,0,0,3.333333,11.411764,3087.657715,24.5516514006966,733.364135251298,0
"Efficiency",4751.47836,0.474578341989612,0.351722070628053,0.123708414966885,0,0,0.607438,0.7345995,1,-0.349555419638966,1.61475700598843,0
"Constraint",1346.527222,0.134491332600879,0.210156039673598,0.0441655610112908,0,0,0.058463,0.16513325,1,2.65683748713145,10.5138675286165,0
"Hierarchy",509.664807,0.0752272777859779,0.217538770480969,0.0473231166623716,0,0.0009095,0.006724,0.0400535,1,3.82145921128077,16.2337532110589,NA
"Indirectsfile",963.805845,0.0962650664202956,0.13100262163494,0.0171616868752271,0,0,0.0394805,0.1492925,0.801324,1.75771789850778,6.15239530500882,0
