"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"CL",4135814,413.085697163404,2031.91215315752,4128666.99814922,0,0,121,372,129612,47.2682649969203,2768.27002916855,0
"LOC",2295866,229.311426288454,1060.97813372238,1125674.60023702,0,0,33,180,58528,35.5463811073848,1692.7850039801,0
"LOCE",1503035,150.123351977627,1541.26242756007,2375489.87060836,0,0,0,32,107108,58.603890188482,3880.41361938368,0
"CCMax",65377,6.52986416300439,24.4358422330258,597.110385637325,0,0,1,6,815,17.5599786163507,441.330038845691,0
"CCSum",358616,35.8186176588094,156.948880896395,24632.9512146307,0,0,1,25,8676,32.0378951802284,1597.95218544313,0
"NMax",11536,1.15221733919297,1.69918395965986,2.88722612876535,0,0,0,2,14,1.55614683619761,5.4374164979579,0
"n1",1013596,101.238114262885,413.705487008066,171152.229980581,0,0,3,82,24124,35.7230677712052,1914.31944938873,0
"n2",1688114,168.60906911706,794.052328111879,630519.099779894,0,0,3,124,48298,40.1170214048591,2261.39781774243,0
"n",2701710,269.847183379944,1204.26255081632,1450248.29129863,0,0,7,208,72422,38.860925707453,2162.00869110333,0
"N1",5350829,534.441570115861,3328.03773581277,11075835.1709938,0,0,4,343,221746,51.1846456174408,3213.27884798037,0
"N2",4107054,410.213144226928,2581.27407488635,6662975.84968037,0,0,4,260.25,172332,51.4585138703022,3237.94658346306,0
"N",9457883,944.654714342789,5908.20960228729,34906940.7045597,0,0,9,604.25,394078,51.3292908489624,3226.40609651439,0
"V",58126954.2013349,5805.72854587844,43202.3757756042,1866445272.65651,0,0,25.2661943,3304.36310725,2946076.981,54.5562299420503,3508.04190085383,0
"L",22705.613809969,2.26783997302926,12.2911493877909,151.072353272992,0,0,0.0011697285,0.92538860075,479.9382136,20.0722640652342,561.47160687561,0
"D",3222359.05084637,321.849685462083,1419.67664768274,2015481.7839757,0,0,0.866280653,159.25194775,54498.55172,16.760549831746,449.432096550839,0
"E",40368750444.8943,4032036.60056875,80372296.7032935,6459706077362243,0,0,27.913718805,110792.45265,4167530662,34.9305761258301,1435.39633085395,0
"T",124594908.77761,12444.5574088704,248062.644138768,61535075417.1171,0,0,0.0861534535,341.9520143,12862748.96,34.9305761272921,1435.39633105083,0
"Size",166901,16.6700958849381,77.8429768875459,6059.52905071501,0,0,6,17,3108,23.7497867710418,699.357537820462,0
"Ties",1202948,120.150619256892,929.339008217777,863670.992195201,0,0,7,65,42273,27.9838557273446,974.292160474786,0
"Pairs",63277300,6320.14582500999,162390.098973153,26370544244.5105,0,0,30,272,9656556,40.2934418528978,1904.35643003255,0
"Density",162076.371687,16.7468869277743,16.2072067501952,262.673550643571,0,0,16.666666,28.095238,100,0.707876036554934,3.3180037040656,NA
"nWeakComp",10675,1.06622053535757,2.57949421574382,6.65379040905583,0,0,1,1,128,24.5977178100745,910.487000136522,0
"pWeakComp",152424.544432,15.2241854206952,25.5343771241022,652.004415115873,0,0,5,16.666666,100,2.3619204764421,7.79819689307237,0
"X2StepReach",128469.395573,12.8315417072513,15.4499586376052,238.701221903711,0,0,2.765527,31.176497,50.128628,0.624951458567015,1.54606377912777,0
"ReachEffic",321896.677167,32.1703654974016,31.9605637913967,1021.47763786394,0,0,21.883046,56.29551,100,0.696488388134725,2.25015068575056,NA
"Broker",31037176,3099.99760287655,80767.0084585907,6523309655.35006,0,0,8,106,4807141.5,40.3460166715975,1909.02397745966,0
"nBroker",2410.118109,0.249030596094234,0.184967546270846,0.0342129931734575,0,0,0.333333,0.3976505,0.5,-0.451672090598715,1.48219563456356,NA
"EgoBetween",1301358.465475,129.979870702657,3038.92711472663,9235078.00862071,0,0,0,5.789502,218013.1719,50.9501560158482,3109.51741748641,0
"nEgoBetween",29577.464144,3.05615459227113,6.3539468585021,40.3726406806688,0,0,0,3.58428675,76.190475,3.80581276609976,23.2583807826751,NA
"Size2",87981,8.78755493407911,76.6367092795897,5873.18520920435,0,0,0,3,3105,24.9645522191944,748.946246336282,0
"Ties2",447542,44.7005593288054,757.008590453942,573062.006021064,0,0,0,1,40815,36.7329321345778,1607.68184045951,0
"Pairs2",59481614,5941.03216140631,161775.76730163,26171398886.0311,0,0,0,6,9637920,40.4295918672763,1916.33373352453,0
"Density2",75956.014953,8.98568732438188,19.0730484655314,363.781177768509,0,0,0,7.384615,100,2.65710676694257,10.3748481771126,NA
"nWeakComp2",14373,1.43557730723132,5.56932900520264,31.0174255681914,0,0,0,1,203,16.3015053232801,403.707728610028,0
"pWeakComp2",305665.313016,30.5298954270875,40.6992058077027,1656.42535337775,0,0,0,66.666664,100,0.88744921425929,2.04722402516217,0
"X2StepReach2",7836.962645,0.782756956152617,2.60460186767006,6.78395088907037,0,0,0,0.551268,50.082691,8.72466289411447,105.080170140655,0
"ReachEffic2",334771.342358,33.4737868571143,39.6350124943066,1570.93421542384,0,0,0,69.594597,100,0.641083282066182,1.76756222270705,NA
"Broker2",29517036,2948.16580103875,80517.4231446706,6483055429.85793,0,0,0,1.5,4798552.5,40.4422730130929,1917.5695614325,0
"nBroker2",1283.219914,0.151806449071336,0.203741837758157,0.0415107364530711,0,0,0,0.375,0.5,0.725403769127053,1.7101205030569,NA
