"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"CL",4250246,403.057942152679,1976.70663066564,3907369.1037175,0,0,119,368,129184,48.4671457343433,2912.16385473908,0
"LOC",2343554,222.243148411569,1027.14449748731,1055025.81871846,0,0,33,176,58528,36.8612620957571,1818.78321301432,0
"LOCE",1521874,144.321858700806,1500.92814360385,2252785.2922621,0,0,0,32,106746,59.9246760377072,4064.56518364675,0
"CCMax",68155,6.46325272641062,25.0683738948071,628.423369729845,0,0,1,6,873,18.3115111376847,473.576494971109,0
"CCSum",362370,34.3641536273115,152.039367396856,23115.9692384362,0,0,1,24,8650,33.2108511573174,1710.94249654116,0
"NMax",12035,1.14129919393077,1.70037107106357,2.89126177930986,0,0,0,2,14,1.58913664574035,5.56185743478674,0
"n1",1036517,98.2946420104315,401.948322616453,161562.45405418,0,0,0,81,24069,36.8181168608951,2029.3936015412,0
"n2",1722369,163.335135135135,771.809079427377,595689.255086536,0,0,0,122,48162,41.2748108232691,2390.2787079142,0
"n",2758886,261.629777145567,1170.32832485588,1369668.38795997,0,0,0,206,72231,40.0092554255755,2287.73100901983,0
"N1",5442110,516.084400189663,3229.21305179529,10427816.933885,0,0,0,337,221091,52.8643454618816,3417.46615278478,0
"N2",4179467,396.345851114272,2506.48189219077,6282451.47588021,0,0,0,256,171787,53.0347009622885,3432.05972508374,0
"N",9621577,912.430251303936,5734.53003583386,32884834.7318807,0,0,0,594,392878,52.9667203428071,3426.57306541903,0
"V",59119352.6940563,5606.38716871088,41927.9179095796,1757950300.23244,0,0,0,3253.012392,2937690.95,56.3193132157025,3728.53531116392,0
"L",22585.020737247,2.14177531884751,12.0155689876251,144.373898096378,0,0,0,0.87262653,615.5793967,24.7158013299155,919.415730208357,0
"D",3301919.23796605,313.12652801954,1379.19460469263,1902177.75761326,0,0,0,158.9551887,54371.42497,17.0184214151209,470.540950496068,0
"E",40010990519.9233,3794309.20056172,76948690.6920181,5921100999215875,0,0,0,110885.376,4152557665,36.6243496102958,1581.29573049811,0
"T",123490711.473249,11710.830865173,237495.958895213,56404330491.5567,0,0,0,342.2388149,12816536,36.6243496062391,1581.29573009318,0
"Size",171482,16.2619250829777,76.5365691124586,5857.84641150615,0,0,6,17,3324,25.5509718760609,820.829169855465,0
"Ties",1183031,112.188809862494,900.16424025547,810295.659434708,0,0,6,60,42727,29.7703095596075,1098.8492430537,0
"Pairs",64382278,6105.47918444761,169874.30571878,28857279743.4374,0,0,30,272,11045652,44.8282019313944,2362.54465596086,0
"Density",167378.667606,16.4064563424819,16.0797857266886,258.559509016218,0,0,16.328894,26.923077,100,0.782762912484014,3.57773340856858,NA
"nWeakComp",11882,1.12678994784258,2.75452245460694,7.58739395293385,0,0,1,1,105,19.9284282425971,559.562385616144,0
"pWeakComp",164175.613707,15.5690482415363,25.5887059345549,654.781871405124,0,0,5.263158,16.666666,100,2.3082067529493,7.57206808359812,0
"X2StepReach",131311.347384,12.452474858606,15.2730092349947,233.264811092235,0,0,2.31846,30.699913,49.186352,0.644013242034594,1.54529863157717,0
"ReachEffic",345442.670229,32.783778136946,31.9089362137717,1018.18021029455,0,0,23.309723,57.996487,100,0.637989409987916,2.17565760936685,NA
"Broker",31599623.5,2996.64518729256,84525.5813538586,7144573903.20777,0,0,8.5,101.5,5501462.5,44.8916815651921,2368.91754673823,0
"nBroker",2566.106648,0.251529763575769,0.18621913719691,0.0346775670583615,0,0,0.338095,0.400735,0.5,-0.460367143734507,1.4838053420855,NA
"EgoBetween",593212.248127,56.2553103961119,638.924357137623,408224.334143725,0,0,0,5.75,32896.71094,29.7089021375305,1190.53081901576,0
"nEgoBetween",31687.731784,3.10603134522643,6.38393678293917,40.7546488485637,0,0,0,3.5870265,65,3.6969367166229,21.9843825978039,NA
"Size2",90208,8.55457562825984,75.3994137224772,5685.07158969328,0,0,0,3,3322,26.8396611760743,878.186601684547,0
"Ties2",439470,41.6756756756757,742.287305133382,550990.443362179,0,0,0,1,42596,39.6739860739352,1862.07859811141,0
"Pairs2",60624878,5749.15865339023,169470.177488586,28720141058.0129,0,0,0,6,11032362,44.9555885065581,2373.7331204201,0
