"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.31911748800212,0.234913767361392,-9.8722076362361,5.49418731366999e-23
"CCSum",0.00716032146906948,0.000956340631433574,7.4872082537537,7.03540239256341e-14
"T",-8.00798918797359e-05,5.28797325484537e-05,-1.51437777803355,0.129930052059871
"CBO",0.0312526408093414,0.00308941110698388,10.1160511589708,4.68955664455262e-24
"RFC",-0.000355531933581594,6.92680730133113e-05,-5.13269560008217,2.85621645305814e-07
"LCOM",-0.000121807151603259,4.41214463817295e-05,-2.76072435498622,0.00576733300927783
"ReachEffic",0.0188245150664529,0.0017345700952889,10.8525536774676,1.93930105579391e-27
"EgoBetween",0.000216695951352742,0.00011916661131905,1.81842840837835,0.0689986796622396
"Pairs2",-1.39791814523967e-05,1.7542273178806e-06,-7.96885404183869,1.60152473738517e-15
"pWeakComp2",-0.00182255564496282,0.00124901886282428,-1.45918984829553,0.144512862127824
"ReachEffic2",-0.00273813854185666,0.00142986927674536,-1.9149572526582,0.0554979554011398
"nBroker2",-0.116396590480579,0.0518523449142022,-2.2447700421876,0.0247828989023383
"nEgoBetween2",0.00877566775995045,0.00251187361759255,3.49367408395383,0.000476422253369742
"Pairs3",-0.000805941889609294,8.55042206227781e-05,-9.42575563801576,4.27019659434331e-21
"Density3",-0.00439720489781526,0.0017390938012119,-2.52844607619844,0.0114568684313607
"nWeakComp3",0.0449483825516506,0.0180851192821703,2.48537938016058,0.0129413435333848
"pWeakComp3",-0.00379742305209729,0.00105954420767076,-3.58401567825596,0.000338351762141983
"nBroker3",-0.191392316811425,0.0857912532015418,-2.23090711079606,0.0256872826262232
"nEgoBetween3",0.00643023623621657,0.00420628657049951,1.52872043510173,0.126333764117927
"Eigenvec",59.1445148020676,4.67036899789767,12.6637777076482,9.38710758235991e-37
"Power",1.49136169506354e-10,1.50061565082395e-11,9.93833227212225,2.83534099478856e-23
"inCloseness",-26.4368488122092,11.1198220221149,-2.37745251314562,0.0174326874372602
"outCloseness",55.3747283335242,14.2967801759873,3.87323073110761,0.000107402058679936
"Betweenness2",40.2330619399438,22.6010782093881,1.78013905209318,0.0750532068660913
"Constraint",-1.60609643262634,0.178491034432217,-8.99819107293185,2.29467190117958e-19
"Indirectsfile",-0.519230616301147,0.2919435272776,-1.77853100955181,0.0753166836375482
