version, Attr, sigAttr,Residual.deviance, df.residual, null.deviance, df.null, AIC, iter, theta, std.err, 2loglik
2.0all_bug_me_all.csv,7,7,6866.10715490935,6005,7211.21736744387,6012,6882.10715490935,5,,, 
2.1all_bug_me_all.csv,6,6,7714.28604939049,7771,8191.10907263261,7777,7728.28604939049,5,,, 
3.0all_bug_me_all.csv,5,5,10972.927567404,9751,12059.165490893,9756,10984.9275674039,4,,, 
3.1all_bug_me_all.csv,8,7,12265.8374856456,11277,13460.7030080902,11285,12283.8374856456,4,,, 
