,BPP,BCE,MFM
1.3,0.000448516,0.00049989,0.000769954
1.4,0.000953506,0.001043667,0.000383267
1.5,0.000436854,0.00045935,0.000192699
1.6,0.001064117,0.000955374,0.000325368
