,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-7.043644753,1.677905157,-4.19788015,2.69E-05
Size,-0.034058975,0.023605445,-1.442843979,0.149064427
nBroker2,2.757132977,1.411755465,1.952981975,0.050821731
Size3,0.793055433,0.303272397,2.61499378,0.008922908
Ties3,-0.271755478,0.161378872,-1.683959459,0.092189504
Density3,0.044234457,0.01987337,2.225815598,0.026026536
inCloseness,6.595410899,2.659978823,2.479497522,0.013156764
