,BPP,BCE,MFM
1.3,0.000409012,0.000522517,0.000409012
1.4,0.000691994,0.001171209,0.000465823
1.5,0.000470754,0.000479063,0.000123572
1.6,0.000483634,0.000965116,0.000252994
