"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",4143,9.54608294930876,15.4406842652684,238.414730579709,0,3,6,10,188,6.04802173594871,54.9308089501424,1.17841859023808e-33,0
"Ties",13843,31.8963133640553,76.4679336876003,5847.34488245123,0,2,8,29,896,5.99566868978711,51.9569178821029,3.4942142332834e-35,0
"Pairs",138640,319.447004608295,1985.24207009162,3941186.07686168,0,6,30,90,35156,13.8720436829001,227.677585563534,1.90610635188035e-40,0
"Density",12500.022064,32.2165517113402,19.952147362962,398.088184393353,0,19.9632355,31.031746,43.40909,100,0.804908090292577,4.29692043800738,1.87871216651598e-10,NA
"nWeakComp",617,1.42165898617512,1.37768122419391,1.89800555549643,0,1,1,2,16,7.16127988987427,68.3825418018676,4.23742452107398e-36,0
"pWeakComp",14543.405394,33.5101506774194,31.479213591988,990.940888370003,0,10,22.222221,50,100,1.2034924242751,3.18508169487823,6.61269934181265e-23,0
"X2StepReach",13235.983278,30.4976573225806,19.2119876034605,369.100467675521,0,15.1150625,27.301255,47.280334,77.615067,0.112850821528206,1.8247075385622,5.8779489925676e-11,7.09169048374036e-06
"ReachEffic",24903.855279,57.9159425093023,25.9129548038575,671.481226666761,0,40.939061,56.6851195,77.846083,100,-0.0499162235522981,2.31971627725156,8.329639986448e-08,NA
"Broker",62398.5,143.77534562212,960.149955024947,921887.936134407,0,1,8,32.5,17130,14.1343574617772,234.643698957508,1.36919262195902e-40,0
"nBroker",125.499894,0.323453335051546,0.111667266861449,0.0124695784883061,0,0.25,0.333333,0.392857,0.5,-1.11649099113603,4.50543704139542,1.81700394182686e-14,NA
"EgoBetween",29198.401512,67.2774228387097,687.454975694066,472594.343606529,0,0,1,6,13743.93262,18.4058131220922,363.218526824668,2.08505237361626e-41,0
"nEgoBetween",3371.663184,8.68985356701031,11.4272808999779,130.582748766999,0,0,4.5340005,13.333333,68.035423,2.0177814676226,7.87882132728361,1.6429265480109e-23,NA
"Size2",2253,5.19124423963134,13.4252809267927,180.238167963304,0,1,1,4,155,6.40738441801065,56.2779061622282,4.8042530748964e-36,0
"Ties2",5824,13.4193548387097,53.1714660107772,2827.20479773523,0,0,0,3,580,6.84682334013381,59.9061838888185,3.79742349328959e-38,0
"Pairs2",87486,201.58064516129,1448.47415430805,2098077.37569843,0,0,0,12,23870,12.7398129910819,187.926703845188,1.24763914734481e-40,0
"Density2",5790.062648,18.7989047012987,24.8361092751421,616.832323926801,0,0,9.806763,31.10119025,100,1.59102821873273,5.2638841160622,9.24265369297627e-21,NA
"nWeakComp2",523,1.20506912442396,1.82916382411246,3.34584029544173,0,1,1,1,23,7.11234338829763,70.1691934591551,5.42699517744076e-35,0
"pWeakComp2",20801.684092,47.9301476774194,42.7494219010105,1827.51307287059,0,2.5,33.333332,100,100,0.191130480105131,1.29885746846515,2.1764866872313e-23,0
"X2StepReach2",5631.171548,12.9750496497696,16.2849949836876,265.201061618732,0,0.41841,6.485356,17.573221,68.410042,1.37717222567718,3.76327441259758,6.84189249977768e-24,0
"ReachEffic2",25012.833155,58.0344156728538,39.1677557528467,1534.11309071466,0,16.135136,67.647057,100,100,-0.422197603091945,1.64715352885693,6.10174264472212e-21,NA
"Broker2",40831,94.0806451612903,701.11783507093,491566.218654548,0,0,0,4.5,11665.5,12.9663751000492,193.839500907564,1.02826118701981e-40,0
"nBroker2",72.549688,0.235550935064935,0.199068673330288,0.0396283367014811,0,0,0.25,0.416667,0.5,-0.124777948351062,1.33465890226835,1.66376912388943e-18,NA
"EgoBetween2",16356.000715,37.6866375921659,466.472161982338,217596.277904476,0,0,0,0,9427.311523,19.0112676508865,380.482873542627,1.28108993560416e-41,0
"nEgoBetween2",1634.664911,5.30735360714286,14.8882496637668,221.659978050651,0,0,0,0,100,3.90378758815712,20.3834782926936,1.9368631732491e-30,NA
"Size3",2204,5.07834101382489,6.34667020141788,40.2802226455657,0,1,3,7,67,3.86212355856981,28.8746417865908,8.60154352003573e-28,5.55111512312578e-16
"Ties3",5712,13.1612903225806,26.4495995367083,699.581315652239,0,0,3,14,295,4.79331256176451,38.3244651520804,1.52874086264686e-32,0
"Pairs3",26430,60.8986175115207,257.992523385457,66560.1421227956,0,0,6,42,4422,12.6764696494666,198.81976618818,2.76728069996754e-39,0
