class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
tests\junit\org\apache\tools\ant\taskdefs\optional\junit\JUnitVersionHelperTest.java,65,50,19,1,8,0,5,3,8,6,4,10,30,0.266666667,3.75,112.5,0.347222222,8,2,0,7,20,28,tests\junit\org\apache\tools\ant\taskdefs\optional\junit\JUnitVersionHelperTest.java-->JUnitVersionHelperTest,1,0,0,,0,0,1,100,0.380228,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,0.380228,100,0,,0,,1,0.095057,0.000129,1,0,0.095057,0,,0,0.000041,0.005732,0.999983,0.571495,1107756,1106704,0.094967,0.095057,2,1,0.001899,0.00095,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\junit\JUnitVersionHelper.java,91,61,42,8,12,3,38,54,92,168,110,278,1550.683607,0.239961236,16.94380159,12563.00138,38.77469562,12,1,0,7,15,1,main\org\apache\tools\ant\taskdefs\optional\junit\JUnitVersionHelper.java-->JUnitVersionHelper,4,2,12,16.666666,,,2,50,1.711027,66.666664,5,0.416667,0,0,4,2,12,16.666666,,,2,50,1.711027,66.666664,5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.380228,0.000515,0,4,0,0.380228,0.166667,6,0.001486,0.210203,-0.000116,-0.000066,1100395,1107756,0.095602,0.094967,1,6.5,0.00095,0.006173,0,0,0.1718,3,0.75,0.318699,0.020087,0.121429,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1172,558,333,18,96,5,357,381,738,1070,718,1788,9605.079899,7.063533946,191.4726365,79465.46321,245.2637754,96,4,0,32,601,810,main\org\apache\tools\ant\taskdefs\XSLTProcess.java-->XSLTProcess,19,68,342,19.883041,,,2,10.526316,63.022812,33.183182,137,0.400585,18.5,5.409357,2,0,2,0,,,2,100,1.711027,69.230766,1,0.5,0,0,17,55,272,20.220589,,,2,11.764706,63.022812,33.620689,108.5,0.398897,0,0,19,1.806084,0.002446,17,2,1.61597,0.190114,0.19883,171,0.060003,8.485684,-54.04808,-30.888767,1101448,972265,0.095511,0.108201,61.033321,5,0.057961,0.004748,158.898407,0.014371,0.092071,14.078947,0.740997,0.072014,0.010141,0.161211,0,0,0,0,0,1,0,0,0,1,0
main\org\apache\tools\ant\AntClassLoader.java,1482,713,464,12,166,4,579,648,1227,1863,1236,3099,15969.73784,10.55536367,370.8704114,169764.9669,523.9659473,166,2,2,45,416,1364,main\org\apache\tools\ant\AntClassLoader.java-->AntClassLoader,33,92,1056,8.712121,,,2,6.060606,59.410645,45.289856,482,0.456439,152,14.393939,23,23,506,4.545455,,,2,8.695652,36.026615,65.798615,241.5,0.477273,2,0.395257,11,21,110,19.09091,,,2,18.181818,57.984791,53.602814,44.5,0.404545,25,22.727272,33,3.136882,0.004248,11,23,1.045627,2.186312,0.087121,528,0.054045,7.64308,-19.248276,-11.000493,265451,977569,0.396307,0.107614,49.733311,326.53598,0.04723,0.310101,3237.966797,0.292856,0.579601,27.867647,0.844474,0.065495,0.174826,0.288552,0,0,0,1,0,0,1,0,1,1,0
main\org\apache\tools\ant\BuildException.java,184,66,29,2,17,1,77,44,121,116,77,193,737.9625134,226.5669138,18.77189273,2485.317478,7.670732957,17,4,3,5,51,80,main\org\apache\tools\ant\BuildException.java-->BuildException,440,1548,193160,0.801408,,,25,5.681818,80.323196,17.025991,95806,0.495993,2868.311523,1.484941,439,1534,192282,0.797787,,,25,5.694761,80.323196,17.101801,95374,0.496011,0,0,1,0,0,,0,0,1,100,2.091255,100,0,,0,,440,41.825096,0.056643,1,439,0.095057,41.730038,0.008014,96580,0.383855,54.285339,0.556387,0.317978,264458,977829,0.397795,0.107585,26.948011,614.333313,0.025592,0.583412,7147.103027,0.646415,33.983086,434.017059,0.986402,0.014179,0.418405,0.546264,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\DirectoryScanner.java,1564,739,481,26,191,7,675,571,1246,1968,1270,3238,16963.34575,23.73098062,284.9740897,159436.7904,492.0888592,191,1,3,23,99,1746,main\org\apache\tools\ant\DirectoryScanner.java-->DirectoryScanner,65,194,4160,4.663462,,,2,3.076923,57.699619,38.785942,1983,0.476683,188,4.519231,60,95,3540,2.683616,,,7,11.666667,25.380228,31.823599,1722.5,0.486582,0,0,5,7,20,35,,,1,20,49.049431,71.074379,6.5,0.325,0,0,65,6.178707,0.008368,5,60,0.475285,5.703422,0.046635,2080,0.085753,12.127258,-3.72778,-2.130446,266504,977691,0.394741,0.1076,36.986931,253.879868,0.035125,0.241101,1031.411621,0.093285,0.636258,59.484615,0.915148,0.037857,0.209773,0.310138,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\Project.java,2327,898,531,14,212,5,1058,1051,2109,2499,1837,4336,20870.05818,98.9574431,441.4226566,151877.9019,468.7589563,212,1,1,63,540,6828,main\org\apache\tools\ant\Project.java-->Project,334,1253,111222,1.126576,,,2,0.598802,78.136879,18.530207,54984.5,0.494367,11325.52246,10.182808,327,993,106602,0.931502,,,4,1.223242,74.619774,20.326256,52804.5,0.495342,9386.65332,8.805326,22,60,462,12.987013,,,1,4.545455,58.079849,38.818298,201,0.435065,283.75,61.417747,334,31.74905,0.042997,22,327,2.091255,31.083651,0.011266,55611,0.303805,42.964462,-68.438614,-39.113037,264699,977534,0.397433,0.107618,58.733315,543.016846,0.055777,0.515685,61967.76172,5.604635,18.776415,326.328094,0.97703,0.028719,0.517133,0.591699,0,0,1,1,0,0,1,1,1,1,0
main\org\apache\tools\ant\types\Mapper.java,275,163,100,8,38,3,133,100,233,270,144,414,1820.213426,7.286605073,42.0472068,6386.700811,19.71203954,38,3,0,13,362,85,main\org\apache\tools\ant\types\Mapper.java-->Mapper,24,67,552,12.137681,,,2,8.333333,58.93536,40.816326,242.5,0.439312,63.166668,11.443236,18,4,306,1.30719,,,14,77.777779,8.555133,43.68932,151,0.493464,17,5.555555,7,14,42,33.333332,,,2,28.571428,58.174904,46.504559,14,0.333333,6,14.285714,24,2.281369,0.00309,7,18,0.665399,1.711027,0.121377,276,0.053528,7.569992,-26.105062,-14.919184,267279,977598,0.393596,0.107611,46.376175,189.400055,0.044042,0.179867,1556.635376,0.140789,0.551706,19.48,0.811667,0.075021,0.098269,0.251035,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\Path.java,654,360,230,7,86,2,322,305,627,929,627,1556,8001.496434,54.15224563,124.7630382,92835.57166,286.5295422,86,3,1,24,376,491,main\org\apache\tools\ant\types\Path.java-->Path,112,437,12432,3.515122,,,1,0.892857,64.543724,25.603319,5997.5,0.482424,1113.870605,8.959706,100,162,9900,1.636364,,,11,11,47.43346,34.725121,4869,0.491818,53.583332,0.541246,13,30,156,19.23077,,,1,7.692307,59.980988,40.735958,63,0.403846,65.5,41.987179,112,10.646388,0.014418,13,100,1.235741,9.505703,0.035151,6216,0.144709,20.464968,-31.265512,-17.868408,265289,977534,0.396549,0.107618,55.033325,378.536255,0.052263,0.359484,28366.30664,2.565573,1.651092,104.827431,0.935959,0.035252,0.324798,0.457541,0,0,0,1,0,1,0,0,1,1,0
main\org\apache\tools\ant\types\Reference.java,107,41,16,4,13,1,39,31,70,63,47,110,457.7240245,4.336604812,11.83429567,1169.434241,3.609364942,13,1,1,3,336,25,main\org\apache\tools\ant\types\Reference.java-->Reference,55,127,2970,4.276094,,,1,1.818182,59.695816,44.194229,1421.5,0.47862,18.166666,0.611672,53,47,2756,1.70537,,,19,35.849056,23.193916,37.712521,1354.5,0.491473,0,0,2,1,2,50,,,1,50,54.087452,73.514214,0.5,0.25,0,0,55,5.228137,0.00708,2,53,0.190114,5.038023,0.042761,1485,0.073578,10.40554,-12.594774,-7.197981,266163,977653,0.395247,0.107605,39.319057,274.173279,0.03734,0.260373,162.18187,0.014668,0.348388,50.80909,0.923802,0.040874,0.192459,0.288783,0,0,0,0,0,0,0,0,0,0,1
