class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
main\org\apache\tools\ant\types\Resource.java,387,179,100,4,54,1,184,112,296,313,166,479,1984.97394,9.567026169,65.81008484,10379.30084,32.03487913,54,3,7,12,364,358,main\org\apache\tools\ant\types\Resource.java-->Resource,69,129,4692,2.749361,,,14,20.289856,44.296577,43.028625,2281.5,0.486253,76.73333,1.635408,68,114,4556,2.502195,,,15,22.058823,43.916351,45.117188,2221,0.487489,0,0,1,0,0,,0,0,1,100,5.608365,100,0,,0,,69,6.558935,0.008883,1,68,0.095057,6.463878,0.027494,2346,0.059373,8.396676,-4.259812,-2.434505,265317,977760,0.396507,0.107593,31.40239,362.786102,0.029822,0.344526,1741.518677,0.157511,2.315272,65.753624,0.952951,0.026379,0.062476,0.274163,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\XMLCatalog.java,989,526,368,10,70,4,206,313,519,836,571,1407,7574.546263,3.537324756,96.41644042,59170.25409,182.624241,70,3,0,32,380,242,main\org\apache\tools\ant\types\XMLCatalog.java-->XMLCatalog,15,53,210,25.238094,,,1,6.666667,59.790874,39.510052,78.5,0.37381,17.75,8.452381,5,0,20,0,,,5,100,2.946768,56.363636,10,0.5,0,0,10,25,90,27.777779,,,2,20,59.600761,40.793755,32.5,0.361111,0,0,15,1.425856,0.001931,10,5,0.95057,0.475285,0.252381,105,0.048,6.788212,-29.518133,-16.869772,1093041,975464,0.096245,0.107846,50.816643,9.833333,0.048259,0.009338,281.255554,0.025438,0.074494,9.633333,0.642222,0.106725,0.015715,0.25205,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\resources\FileResource.java,288,157,87,6,52,2,109,91,200,266,153,419,1816.621434,8.251272223,50.07460509,12172.4984,37.5694395,52,4,0,11,385,241,main\org\apache\tools\ant\types\resources\FileResource.java-->FileResource,41,153,1640,9.329268,,,2,4.878049,61.88213,34.48093,743.5,0.453354,67.833336,4.136179,37,61,1332,4.579579,,,6,16.216217,45.247147,47.269115,635.5,0.477102,30,2.252252,6,11,30,36.666668,,,1,16.666666,59.980988,45.658466,9.5,0.316667,3,10,41,3.897338,0.005278,6,37,0.570342,3.51711,0.093293,820,0.072725,10.284908,-20.662647,-11.808814,265282,977616,0.396559,0.107609,43.526199,352.017059,0.041335,0.334299,1545.65332,0.139796,0.357225,33.88372,0.826432,0.053897,0.138131,0.322965,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\resources\Resources.java,195,147,80,5,27,3,53,52,105,152,77,229,1089.836129,0.91715639,19.70517172,5991.250344,18.49151341,27,3,0,14,350,25,main\org\apache\tools\ant\types\resources\Resources.java-->Resources,7,0,42,0,,,7,100,8.174905,62.31884,21,0.5,10,23.809525,5,0,20,0,,,5,100,4.372623,62.162163,10,0.5,0,0,2,0,2,0,,,2,100,5.703422,93.75,1,0.5,0,0,7,0.665399,0.000901,2,5,0.190114,0.475285,0,21,0.007828,1.107092,-3.259837,-1.863014,1089891,976706,0.096523,0.107709,32.535721,10.833332,0.030898,0.010288,11.48254,0.001039,0.011628,7,1,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\resources\Union.java,89,49,24,6,16,3,49,50,99,121,84,205,924.8798664,1.866220283,23.49826436,5320.79092,16.4221942,16,4,0,7,355,28,main\org\apache\tools\ant\types\resources\Union.java-->Union,15,29,210,13.809524,,,1,6.666667,21.958176,55.131264,90.5,0.430952,7,3.333333,12,5,132,3.787879,,,7,58.333332,15.874525,61.39706,63.5,0.481061,0,0,3,2,6,33.333332,,,1,33.333332,11.21673,80.27211,2,0.333333,0,0,15,1.425856,0.001931,3,12,0.285171,1.140684,0.138095,105,0.020795,2.940811,-3.635742,-2.077846,265925,977751,0.3956,0.107594,33.202393,264.735077,0.031531,0.25141,19.360048,0.001751,0.011556,11.433333,0.762222,0.10212,0.033611,0.211914,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\util\FileUtils.java,1477,591,361,10,140,3,668,681,1349,2021,1464,3485,17777.53006,21.65637315,278.4996097,156943.1415,484.3924122,140,1,0,41,430,1590,main\org\apache\tools\ant\util\FileUtils.java-->FileUtils,167,414,27722,1.493399,,,7,4.191617,66.349808,27.709408,13654,0.492533,2088.983398,7.535471,162,286,26082,1.096542,,,24,14.814815,58.460075,30,12898,0.494517,1463.583374,5.611469,8,8,56,14.285714,,,3,37.5,55.703423,67.667435,24,0.428571,10.5,18.75,167,15.874525,0.021498,8,162,0.760456,15.39924,0.014934,13861,0.163879,23.176033,-14.248166,-8.142903,264993,977585,0.396992,0.107612,46.892845,435.984253,0.044533,0.41404,29494.38086,2.667601,4.47021,162.047058,0.970342,0.027573,0.480061,0.342315,0,0,5,5,3,0,2,5,5,5,0
main\org\apache\tools\ant\taskdefs\MatchingTask.java,389,149,60,4,46,3,219,165,384,315,247,562,2189.213236,12.15987137,100.8685083,11270.75364,34.78627668,46,3,25,29,501,79,main\org\apache\tools\ant\taskdefs\MatchingTask.java-->MatchingTask,49,134,2352,5.697279,,,1,2.040816,54.18251,37.181995,1109,0.471514,430.783325,18.315619,24,5,552,0.905797,,,19,79.166664,11.88213,43.252594,273.5,0.495471,0,0,25,44,600,7.333333,,,1,4,51.330799,43.40836,278,0.463333,0,0,49,4.657794,0.006308,25,24,2.376426,2.281369,0.056973,1176,0.06719,9.50214,-46.438583,-26.5399,1036285,976464,0.101516,0.107736,62.499989,43.666664,0.059354,0.041469,1470.884888,0.133033,0.509736,44.469387,0.907539,0.041885,0.133952,0.278395,0,0,0,0,0,1,0,0,0,1,0
main\org\apache\tools\ant\types\resources\BaseResourceCollectionContainer.java,213,135,80,6,37,3,92,84,176,245,132,377,1799.661124,1.792854915,34.19861194,10143.5213,31.30716451,37,3,3,15,351,68,main\org\apache\tools\ant\types\resources\BaseResourceCollectionContainer.java-->BaseResourceCollectionContainer,19,38,342,11.111111,,,1,5.263158,47.528519,62.111801,152,0.444444,22.416666,6.554581,16,18,240,7.5,,,3,18.75,16.444866,57.475082,111,0.4625,0,0,3,1,6,16.666666,,,2,66.666664,43.916351,91.666664,2.5,0.416667,0,0,19,1.806084,0.002446,3,16,0.285171,1.520913,0.111111,171,0.030503,4.31372,-2.140224,-1.223149,265900,977753,0.395637,0.107594,32.952389,269.135132,0.031294,0.255589,860.784241,0.077853,0.114031,15.236842,0.801939,0.096099,0.095628,0.272429,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\mail\MailMessage.java,39,31,16,3,9,1,274,210,484,541,365,906,3953.495429,7.426487379,153.1032798,37810.87225,116.700223,9,4,0,1,56,10,main\org\apache\tools\mail\MailMessage.java-->MailMessage,5,0,20,0,,,5,100,1.520913,80,10,0.5,6,30,2,0,2,0,,,2,100,1.235741,76.470589,1,0.5,0,0,3,0,6,0,,,3,100,0.285171,,3,0.5,0,0,5,0.475285,0.000644,3,2,0.285171,0.190114,0,10,0.001153,0.163021,2.999962,1.714494,1105652,1104600,0.095147,0.095238,4,3,0.003799,0.002849,6,0.000543,0.514536,5,1,0.2,0,0,0,0,1,1,0,2,1,1,1,3,0
main\org\apache\tools\mail\MailMessage.java,39,31,16,3,9,1,274,210,484,541,365,906,3953.495429,7.426487379,153.1032798,37810.87225,116.700223,9,4,0,1,56,10,main\org\apache\tools\mail\MailMessage.java-->MailPrintStream,1,0,0,,0,0,1,100,0.475285,100,0,,0,,1,0,0,,0,0,1,100,0.475285,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095057,0.000129,0,1,0,0.095057,,0,0.000031,0.004446,-0.000014,-0.000008,1104602,1107756,0.095238,0.094967,1,3,0.00095,0.002849,0,0,0,1,1,1,1,0,0,0,1,1,0,2,1,1,1,3,0
main\org\apache\tools\mail\MailMessage.java,39,31,16,3,9,1,274,210,484,541,365,906,3953.495429,7.426487379,153.1032798,37810.87225,116.700223,9,4,0,1,56,10,main\org\apache\tools\mail\MailMessage.java-->MailMessage,5,0,20,0,,,5,100,1.520913,80,10,0.5,6,30,2,0,2,0,,,2,100,1.235741,76.470589,1,0.5,0,0,3,0,6,0,,,3,100,0.285171,,3,0.5,0,0,5,0.475285,0.000644,3,2,0.285171,0.190114,0,10,0.001153,0.163021,2.999962,1.714494,1105652,1104600,0.095147,0.095238,4,3,0.003799,0.002849,6,0.000543,0.514536,5,1,0.2,0,0,0,0,1,1,0,2,1,1,1,3,0
main\org\apache\tools\mail\MailMessage.java,39,31,16,3,9,1,274,210,484,541,365,906,3953.495429,7.426487379,153.1032798,37810.87225,116.700223,9,4,0,1,56,10,main\org\apache\tools\mail\MailMessage.java-->MailPrintStream,1,0,0,,0,0,1,100,0.475285,100,0,,0,,1,0,0,,0,0,1,100,0.475285,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095057,0.000129,0,1,0,0.095057,,0,0.000031,0.004446,-0.000014,-0.000008,1104602,1107756,0.095238,0.094967,1,3,0.00095,0.002849,0,0,0,1,1,1,1,0,0,0,1,1,0,2,1,1,1,3,0
main\org\apache\tools\mail\SmtpResponseReader.java,67,35,19,4,9,2,39,35,74,86,59,145,638.861639,0.99297656,18.12429511,3288.77409,10.15053731,9,1,0,6,16,6,main\org\apache\tools\mail\SmtpResponseReader.java-->SmtpResponseReader,1,0,0,,0,0,1,100,0.475285,100,0,,0,,1,0,0,,0,0,1,100,0.475285,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095057,0.000129,0,1,0,0.095057,,0,0.000031,0.004446,-0.00001,-0.000006,1104602,1107756,0.095238,0.094967,1,3,0.00095,0.002849,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0
main\org\apache\tools\mail\ErrorInQuitException.java,12,5,1,1,1,0,6,4,10,8,5,13,43.18506523,0.455052791,2.19754723,94.90122049,0.292905002,1,4,0,0,40,0,main\org\apache\tools\mail\ErrorInQuitException.java-->ErrorInQuitException,1,0,0,,0,0,1,100,0.475285,100,0,,0,,1,0,0,,0,0,1,100,0.475285,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095057,0.000129,0,1,0,0.095057,,0,0.000031,0.004446,-0.000008,-0.000005,1104602,1107756,0.095238,0.094967,1,3,0.00095,0.002849,0,0,0,1,1,1,1,0,0,0,1,1,0,2,0,1,1,2,0
main\org\apache\tools\ant\taskdefs\Touch.java,316,191,115,10,45,4,186,167,353,457,287,744,3795.460313,3.092177176,115.9262202,33357.74357,102.9559987,45,3,0,26,461,157,main\org\apache\tools\ant\taskdefs\Touch.java-->Touch,14,38,182,20.879122,,,1,7.142857,62.642586,35.525608,72,0.395604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,182,20.879122,,,1,7.142857,62.642586,35.525608,72,0.395604,0,0,14,1.330799,0.001802,14,0,1.330799,0,0.208791,91,0.053026,7.498971,-40.649895,-23.231632,1107756,976478,0.094967,0.107734,56.616657,1,0.053767,0.00095,0,0,0.039471,10.071428,0.719388,0.08429,0.003459,0.083871,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\Task.java,449,171,89,6,43,3,146,119,265,298,201,499,2204.25899,45.77326781,35.89648257,8569.814235,26.45004393,43,2,138,13,356,376,main\org\apache\tools\ant\Task.java-->Task,214,697,45582,1.529112,,,8,3.738318,67.490494,22.468355,22442.5,0.492354,1306.391235,2.866024,211,368,44310,0.830512,,,28,13.270143,59.505703,26.061615,21971,0.495847,1157.154785,2.611498,7,17,42,40.476189,,,1,14.285714,57.034222,52.447552,12.5,0.297619,8.166667,19.444445,214,20.342205,0.027549,7,211,0.665399,20.057034,0.015291,22791,0.225072,31.829975,-32.31102,-18.465921,265106,977645,0.396822,0.107606,42.402393,446.369965,0.040268,0.423903,5550.024902,0.501969,5.788713,207.922012,0.971598,0.030467,0.51392,0.467164,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\FileSet.java,65,31,14,2,9,1,5,2,7,6,4,10,28.07354922,1.016235061,0.984024305,27.62505476,0.085262515,9,4,6,3,468,15,main\org\apache\tools\ant\types\FileSet.java-->FileSet,61,173,3660,4.726776,,,2,3.278688,42.965778,33.681072,1743.5,0.476366,110.75,3.025956,56,36,3080,1.168831,,,26,46.42857,29.087452,37.408314,1522,0.494156,0,0,5,4,20,20,,,2,40,34.790874,69.847328,8,0.4,0,0,61,5.798479,0.007853,5,56,0.475285,5.323194,0.047268,1830,0.080898,11.440759,-12.239563,-6.994976,265921,977616,0.395606,0.107609,43.976208,290.940308,0.041763,0.276297,1098.437134,0.099347,0.317895,56.008198,0.918167,0.037823,0.203062,0.28617,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\FileList.java,184,87,43,4,22,2,82,67,149,170,103,273,1191.022917,2.263775289,35.16463502,6380.322421,19.69235315,22,3,0,10,355,36,main\org\apache\tools\ant\types\FileList.java-->FileList,13,32,156,20.512821,,,2,15.384615,58.365021,45.014664,62,0.397436,18.166666,11.645299,8,4,56,7.142857,,,4,50,13.973384,69.668243,26,0.464286,0,0,5,6,20,30,,,2,40,57.794678,52.732002,7,0.35,0,0,13,1.235741,0.001674,5,8,0.475285,0.760456,0.205128,78,0.042083,5.951465,-18.423468,-10.529111,266074,977644,0.395379,0.107606,41.65239,252.473083,0.039556,0.239766,252.780884,0.022863,0.043262,9.192307,0.707101,0.107405,0.031243,0.158948,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\AbstractFileSet.java,759,385,218,7,112,3,409,350,759,867,542,1409,6284.427496,22.15278713,151.7158472,24957.90308,77.03056506,112,3,3,34,458,1458,main\org\apache\tools\ant\types\AbstractFileSet.java-->AbstractFileSet,80,313,6320,4.952532,,,1,1.25,63.307983,30.054152,3003.5,0.475237,1293.730957,20.470427,56,84,3080,2.727273,,,5,8.928572,28.326996,35.990337,1498,0.486364,0,0,24,33,552,5.978261,,,7,29.166666,58.745247,44.524494,259.5,0.470109,0,0,80,7.604563,0.010299,24,56,2.281369,5.323194,0.049525,3160,0.106109,15.006088,-35.391422,-20.226387,265913,977520,0.395618,0.107619,60.91666,292.106964,0.057851,0.277405,23426.67578,2.118811,0.993094,73.068748,0.913359,0.038262,0.217543,0.419523,0,0,0,1,0,1,0,0,1,1,0
main\org\apache\tools\ant\util\regexp\RegexpMatcherFactory.java,100,60,37,7,15,1,59,55,114,155,103,258,1342.338254,0.620254968,30.91944237,15467.45848,47.73906938,15,1,1,11,338,15,main\org\apache\tools\ant\util\regexp\RegexpMatcherFactory.java-->RegexpMatcherFactory,7,10,42,23.809525,,,1,14.285714,55.13308,68.315666,16,0.380952,5.5,13.095238,3,0,6,0,,,3,100,1.806084,86.36364,3,0.5,0,0,4,4,12,33.333332,,,1,25,55.13308,70.133011,4,0.333333,0,0,7,0.665399,0.000901,4,3,0.380228,0.285171,0.238095,21,0.023103,3.26728,-16.411617,-9.379328,268861,977645,0.39128,0.107606,40.842869,127.751556,0.038787,0.121322,124.056351,0.01122,0.009745,4.5,0.642857,0.218415,0.057721,0.203897,1,0,0,1,0,0,0,1,1,0,0
main\org\apache\tools\ant\MagicNames.java,141,28,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,12,0,main\org\apache\tools\ant\MagicNames.java-->MagicNames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.000001,0.000001,1107756,1107756,0.094967,0.094967,1,1,0.00095,0.00095,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0
main\org\apache\tools\ant\util\ClasspathUtils.java,430,176,97,6,21,2,99,111,210,246,192,438,2098.364255,2.738451191,44.58932941,13081.04656,40.37360049,21,1,0,15,335,45,main\org\apache\tools\ant\util\ClasspathUtils.java-->ClasspathUtils,18,41,306,13.398693,,,2,11.111111,58.365021,44.268204,132.5,0.433007,42,13.725491,12,2,132,1.515152,,,10,83.333336,5.988593,63,65,0.492424,0,0,6,13,30,43.333332,,,1,16.666666,57.414448,46.930847,8.5,0.283333,0,0,18,1.711027,0.002317,6,12,0.570342,1.140684,0.133987,153,0.04234,5.987844,-24.991989,-14.283056,266220,977600,0.395162,0.10761,45.992844,235.70639,0.043678,0.223843,500.299225,0.045249,0.113771,14.694445,0.816358,0.088628,0.052586,0.218798,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\util\JavaEnvUtils.java,410,215,157,8,42,2,102,107,209,299,212,511,2572.290873,3.046843242,95.41501723,77058.04947,237.833486,42,1,0,12,33,94,main\org\apache\tools\ant\util\JavaEnvUtils.java-->JavaEnvUtils,35,67,1190,5.630252,,,9,25.714285,45.152092,51.686615,561.5,0.471849,41.916668,3.522409,34,56,1122,4.991087,,,10,29.411764,40.589355,56.781914,533,0.475045,0,0,1,0,0,,0,0,1,100,15.874525,100,0,,0,,35,3.326996,0.004506,1,34,0.095057,3.231939,0.056303,595,0.041604,5.883649,-2.063353,-1.179217,265396,977707,0.396389,0.107599,33.686928,339.202789,0.031991,0.32213,560.803772,0.050722,0.454595,32.142857,0.918367,0.047222,0.060289,0.226436,1,0,0,1,0,2,0,1,1,2,0
