class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
testcases\org\apache\tools\ant\taskdefs\GzipTest.java,36,27,10,2,8,1,14,12,26,24,17,41,159.267675,0.506969867,10.91865318,1154.915347,3.564553541,8,3,0,2,47,21,testcases\org\apache\tools\ant\taskdefs\GzipTest.java-->GzipTest,1,0,0,,0,0,1,100,8.515815,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,8.515815,100,0,,0,,1,0.243309,0.000424,1,0,0.243309,0,,0,0.0016,0.226246,32.984592,4.646037,169332,162384,0.242718,0.253104,7.099999,1,0.017233,0.002427,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\taskdefs\TaskdefsTest.java,208,136,71,5,20,3,89,105,194,272,199,471,2214.506434,17.75215068,38.46486627,13538.94376,41.78686346,20,2,33,11,40,82,testcases\org\apache\tools\ant\taskdefs\TaskdefsTest.java-->TaskdefsTest,35,5,1190,0.420168,,,31,88.571426,57.420925,83.985764,592.5,0.497899,94,7.899159,32,0,992,0,,,32,100,8.029197,97.058823,496,0.5,0,0,3,3,6,50,,,1,33.333332,50.121655,83.40081,1.5,0.25,0,0,35,8.515815,0.014831,3,32,0.729927,7.785888,0.004202,595,0.034233,4.841311,63.969082,9.01035,156180,162779,0.263158,0.25249,9.083334,33,0.022047,0.080097,508,0.301466,12.529958,34.714287,0.991837,0.031515,0.021237,0.034405,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\TraXLiaison.java,86,53,37,7,11,2,41,51,92,132,97,229,1102.308928,0.821053046,23.26316161,9146.615639,28.23029518,11,1,0,11,16,6,main\org\apache\tools\ant\taskdefs\optional\TraXLiaison.java-->TraXLiaison,1,0,0,,0,0,1,100,0.486618,100,0,,0,,1,0,0,,0,0,1,100,0.486618,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.243309,0.000424,0,1,0,0.243309,,0,0,0,0.000004,0.000001,168921,169332,0.243309,0.242718,1,2,0.002427,0.004854,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0
testcases\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java,22,20,11,1,3,1,14,18,32,34,29,63,273.0030125,0.50439119,11.10171662,2147.338156,6.627586902,3,3,0,5,22,3,testcases\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java-->TraXLiaisonTest,2,0,2,0,,,2,100,0.973236,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,0.973236,100,1,0.5,0,0,2,0.486618,0.000847,2,0,0.486618,0,0,1,0,0,1.999949,0.281702,169332,168510,0.242718,0.243902,3,1,0.007282,0.002427,0,0,0.005934,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\taskdefs\optional\AbstractXSLTLiaisonTest.java,60,49,30,2,8,1,45,64,109,130,106,236,1100.634384,1.291321212,29.15327396,8193.461991,25.28846294,8,2,3,11,18,18,testcases\org\apache\tools\ant\taskdefs\optional\AbstractXSLTLiaisonTest.java-->AbstractXSLTLiaisonTest,3,0,6,0,,,3,100,1.459854,100,3,0.5,0,0,3,0,6,0,,,3,100,1.459854,100,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.729927,0.001271,0,3,0,0.729927,0,3,0,0,-0.000192,-0.000027,168099,169332,0.244499,0.242718,1,4,0.002427,0.009709,0,0,0.014242,3,1,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\BuildEvent.java,107,51,22,1,11,0,44,25,69,85,43,128,489.2882459,1.073818466,23.70801469,2224.035069,6.864305768,11,2,0,6,27,40,main\org\apache\tools\ant\BuildEvent.java-->BuildEvent,12,19,132,14.393939,,,1,8.333333,44.038929,66.544121,56.5,0.42803,15.833333,11.994949,8,2,56,3.571429,,,6,75,9.002433,71.153847,27,0.482143,0,0,4,4,12,33.333332,,,1,25,43.065693,80.454544,4,0.333333,0,0,12,2.919708,0.005085,4,8,0.973236,1.946472,0.143939,66,0.038518,5.447255,116.003181,16.339602,71901,163186,0.571619,0.25186,9.416667,66.321457,0.022856,0.160974,109.01667,0.064694,0.401666,9.416667,0.784722,0.169324,0.068709,0.367593,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\taskdefs\optional\XalanLiaisonTest.java,22,20,11,1,3,1,14,18,32,34,29,63,273.0030125,0.50439119,11.10171662,2147.338156,6.627586902,3,3,0,5,22,3,testcases\org\apache\tools\ant\taskdefs\optional\XalanLiaisonTest.java-->XalanLiaisonTest,2,0,2,0,,,2,100,0.973236,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,0.973236,100,1,0.5,0,0,2,0.486618,0.000847,2,0,0.486618,0,0,1,0,0,1.999998,0.281709,169332,168510,0.242718,0.243902,3,1,0.007282,0.002427,0,0,0.005934,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\XalanLiaison.java,55,45,29,7,10,2,32,33,65,115,76,191,957.2080613,0.43458403,28.59245017,15168.02315,46.81488627,10,1,0,6,15,2,main\org\apache\tools\ant\taskdefs\optional\XalanLiaison.java-->XalanLiaison,1,0,0,,0,0,1,100,0.486618,100,0,,0,,1,0,0,,0,0,1,100,0.486618,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.243309,0.000424,0,1,0,0.243309,,0,0,0,0.000001,0,168921,169332,0.243309,0.242718,1,2,0.002427,0.004854,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\ConditionTask.java,37,18,10,4,6,1,19,17,36,28,21,49,181.0824181,0.790211329,11.97339328,640.32882,1.976323518,6,2,0,4,26,1,main\org\apache\tools\ant\taskdefs\ConditionTask.java-->ConditionTask,2,0,2,0,,,2,100,47.445255,97.014923,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,47.445255,97.014923,1,0.5,0,0,2,0.486618,0.000847,2,0,0.486618,0,0,1,0.022629,3.200235,125.622482,17.694527,169332,156655,0.242718,0.26236,13.116668,1,0.031837,0.002427,0,0,0.086832,2,1,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0
main\org\apache\tools\ant\BuildException.java,130,63,28,2,16,1,77,44,121,116,77,193,737.9625134,78.71114484,20.89206961,2604.095373,8.037331397,16,4,0,5,51,66,main\org\apache\tools\ant\BuildException.java-->BuildException,192,532,36672,1.450698,,,14,7.291667,73.479317,19.790302,18070,0.492747,130.166672,0.354948,191,527,36290,1.452191,,,14,7.329843,73.479317,19.868422,17881.5,0.492739,0,0,1,0,0,,0,0,1,100,1.459854,100,0,,0,,192,46.715328,0.081356,1,191,0.243309,46.472019,0.014507,18336,0.470139,66.487663,1.000034,0.14086,55163,168921,0.745065,0.243309,2,235.166656,0.004854,0.570793,168.690475,0.100107,45.339661,186.815109,0.972995,0.031655,0.422998,0.600637,0,0,0,0,0,0,0,0,0,0,1
