class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
main\org\apache\tools\ant\Project.java,193,74,54,4,7,2,22,41,63,86,67,153,849.9059136,0.930998034,7.936219432,5460.062108,16.85204354,7,1,0,18,19,3,main\org\apache\tools\ant\Project.java-->Project,76,191,5700,3.350877,,,1,1.315789,66.91069,34.938839,2754.5,0.483246,699.166687,12.266082,73,133,5256,2.530441,,,5,6.849315,54.465591,37.575756,2561.5,0.487348,518,9.855403,4,4,12,33.333332,,,1,25,47.291363,88.736267,4,0.333333,0.5,4.166667,76,11.127379,0.018591,4,73,0.585652,10.688141,0.033509,2850,0.141487,20.00922,9.05176,3.282432,170543,439282,0.400486,0.155481,15.159525,236.983154,0.022163,0.346467,9569.292969,2.054352,4.786341,71.116882,0.935748,0.03798,0.219462,0.419252,2,0,7,21,5,0,9,9,21,14,0
main\org\apache\tools\ant\types\FileSet.java,23,15,6,2,4,1,5,2,7,6,4,10,28.07354922,1.016235061,0.984024305,27.62505476,0.085262515,4,4,4,0,90,3,main\org\apache\tools\ant\types\FileSet.java-->FileSet,41,67,1640,4.085366,,,4,9.756098,34.846268,38.263664,786.5,0.479573,34.5,2.103658,38,12,1406,0.853485,,,26,68.421051,29.136164,44.519016,697,0.495733,0,0,3,3,6,50,,,1,33.333332,19.180088,74.85714,1.5,0.25,0,0,41,6.002928,0.010029,3,38,0.439239,5.56369,0.040854,820,0.095182,13.460795,8.71399,3.159946,171806,439326,0.397541,0.155465,12.917067,136.137802,0.018885,0.199032,64.296822,0.013803,0.489574,37.731709,0.920286,0.044055,0.163048,0.196797,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\types\PatternSet.java,401,279,167,9,65,4,206,220,426,631,406,1037,5227.889449,3.307043868,94.0950137,45391.94149,140.0985848,65,3,0,13,52,182,main\org\apache\tools\ant\types\PatternSet.java-->PatternSet,11,26,110,23.636364,,,1,9.090909,51.244511,52.39521,42,0.381818,9.166667,8.333333,6,3,30,10,,,3,50,13.762811,78.333336,13.5,0.45,0,0,5,8,20,40,,,1,20,49.487556,61.678833,6,0.3,0,0,11,1.610542,0.002691,5,6,0.732064,0.878477,0.236364,55,0.053837,7.61369,10.342282,3.750412,172152,439308,0.396742,0.155472,14.410714,104.50145,0.021068,0.15278,33.10873,0.007108,0.015126,6.590909,0.599174,0.143065,0.033823,0.230097,0,0,0,2,0,0,1,0,2,1,0
main\org\apache\tools\ant\types\Path.java,379,255,164,15,61,3,240,248,488,738,501,1239,6554.096591,24.79410438,69.52888869,43070.48457,132.9335944,61,3,0,16,91,154,main\org\apache\tools\ant\types\Path.java-->Path,84,264,6972,3.786575,,,1,1.190476,55.490482,27.97048,3354,0.481067,573.909546,8.231634,73,72,5256,1.369863,,,19,26.027397,25.32943,27.158556,2592,0.493151,0,0,11,26,110,23.636364,,,2,18.181818,50.805271,48.32869,42,0.381818,0,0,84,12.298682,0.020548,11,73,1.610542,10.688141,0.037866,3486,0.190595,26.954226,27.116407,9.833199,171566,439270,0.398098,0.155485,20.067854,156.337585,0.029339,0.228564,3856.284424,0.827874,2.411071,77.880951,0.927154,0.04002,0.263702,0.458084,0,0,0,1,1,0,3,0,1,4,0
testcases\org\apache\tools\ant\DummyTaskOk.java,9,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,73,1,testcases\org\apache\tools\ant\DummyTaskOk.java-->DummyTaskOk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\DummyTaskOkNonTask.java,9,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,13,1,testcases\org\apache\tools\ant\DummyTaskOkNonTask.java-->DummyTaskOkNonTask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.00001,-0.000004,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,8,1,0,0,0,8,1,0
testcases\org\apache\tools\ant\DummyTaskAbstract.java,10,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,74,3,testcases\org\apache\tools\ant\DummyTaskAbstract.java-->DummyTaskAbstract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.00002,0.000007,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\DummyTaskWithoutDefaultConstructor.java,9,6,0,1,2,0,4,2,6,4,2,6,15.509775,0.306573596,3.261859507,50.59070705,0.156144158,2,3,0,0,73,1,testcases\org\apache\tools\ant\DummyTaskWithoutDefaultConstructor.java-->DummyTaskWithoutDefaultConstructor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.000001,0,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\DummyTaskWithoutPublicConstructor.java,9,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,73,1,testcases\org\apache\tools\ant\DummyTaskWithoutPublicConstructor.java-->DummyTaskWithoutPublicConstructor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.000001,0,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\DummyTaskWithoutExecute.java,9,6,0,1,2,0,4,3,7,4,3,7,19.65148445,0.101773482,9.825742227,193.0904206,0.595958088,2,1,0,1,13,1,testcases\org\apache\tools\ant\DummyTaskWithoutExecute.java-->DummyTaskWithoutExecute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.000002,0.000001,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
