class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCP.java,40,18,11,2,3,1,19,19,38,55,35,90,411.0989487,0.337949263,11.86910799,2540.202838,7.840132215,3,4,0,4,461,1,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCP.java-->MSVSSCP,5,8,20,40,,,1,20,47.580647,58.005619,6,0.3,0.25,1.25,1,0,0,,0,0,1,100,2.073733,100,0,,0,,4,5,12,41.666668,,,1,25,47.580647,59.510086,3.5,0.291667,0,0,5,0.576037,0.000809,4,1,0.460829,0.115207,0.4,10,0.024792,3.506166,-20.866781,-8.457079,753424,662638,0.115207,0.130992,30.729773,2,0.035362,0.002301,0.0625,0.000008,0.001394,2.1,0.42,0.239094,0.000396,0.093201,0,0,0,2,0,0,1,0,2,1,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCREATE.java,63,26,15,2,5,1,35,28,63,85,52,137,611.3588536,0.895074826,18.85203082,3760.996472,11.6080138,5,4,0,4,463,6,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCREATE.java-->MSVSSCREATE,5,8,20,40,,,1,20,47.580647,58.005619,6,0.3,0.25,1.25,1,0,0,,0,0,1,100,2.073733,100,0,,0,,4,5,12,41.666668,,,1,25,47.580647,59.510086,3.5,0.291667,0,0,5,0.576037,0.000809,4,1,0.460829,0.115207,0.4,10,0.024792,3.506166,-20.866783,-8.457079,753424,662638,0.115207,0.130992,30.729773,2,0.035362,0.002301,0.0625,0.000008,0.001394,2.1,0.42,0.239094,0.000396,0.093201,0,0,1,2,0,0,4,1,2,4,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSGET.java,142,51,26,2,12,1,88,58,146,175,103,278,1187.763491,2.499236112,50.84531616,7223.067698,22.29341882,12,4,0,7,471,55,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSGET.java-->MSVSSGET,6,10,30,33.333332,,,1,16.666666,48.847927,52.475246,10,0.333333,0.2,0.666667,1,0,0,,0,0,1,100,2.073733,100,0,,0,,5,6,20,30,,,1,20,48.847927,53.670887,7,0.35,0,0,6,0.691244,0.00097,5,1,0.576037,0.115207,0.333333,15,0.029162,4.124158,-33.515652,-13.583528,753424,662560,0.115207,0.131007,36.961929,2,0.042534,0.002301,0.0625,0.000008,0.001677,3.083333,0.513889,0.198385,0.000414,0.090811,0,0,1,3,0,0,3,1,3,3,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,167,68,37,5,17,1,95,76,171,216,128,344,1542.751099,2.481650989,53.45296581,9611.232203,29.66429692,17,4,0,8,470,55,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java-->MSVSSHISTORY,6,11,30,36.666668,,,1,16.666666,48.041473,54.509804,9.5,0.316667,0.2,0.666667,1,0,0,,0,0,1,100,2.073733,100,0,,0,,5,7,20,35,,,1,20,48.041473,55.823292,6.5,0.325,0,0,6,0.691244,0.00097,5,1,0.576037,0.115207,0.366667,15,0.026839,3.795582,-19.651815,-7.964666,753424,662637,0.115207,0.130992,31.229774,2,0.035938,0.002301,0.0625,0.000008,0.001877,2.583333,0.430556,0.204117,0.0001,0.106612,0,0,0,2,0,0,0,0,2,0,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSLABEL.java,80,34,20,3,7,1,40,38,78,110,71,181,836.1731507,1.337750744,21.13919601,5592.042067,17.2593891,7,4,0,4,464,10,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSLABEL.java-->MSVSSLABEL,5,8,20,40,,,1,20,47.580647,58.005619,6,0.3,0.25,1.25,1,0,0,,0,0,1,100,2.073733,100,0,,0,,4,5,12,41.666668,,,1,25,47.580647,59.510086,3.5,0.291667,0,0,5,0.576037,0.000809,4,1,0.460829,0.115207,0.4,10,0.024792,3.506166,-20.866776,-8.457076,753424,662638,0.115207,0.130992,30.729773,2,0.035362,0.002301,0.0625,0.000008,0.001394,2.1,0.42,0.239094,0.000396,0.093201,0,0,1,2,0,0,3,1,2,3,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSS.java,667,371,223,8,107,3,296,246,542,543,392,935,4259.5922,13.71143035,125.9665515,27279.86261,84.19710683,107,3,8,18,454,1396,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSS.java-->MSVSS,17,55,272,20.220589,,,1,5.882353,58.870968,36.789059,108.5,0.398897,33.076923,12.160633,9,8,72,11.111111,,,1,11.111111,2.18894,30.15873,32,0.444444,0,0,8,17,56,30.357143,,,1,12.5,58.870968,38.536953,19.5,0.348214,0,0,17,1.958525,0.002749,8,9,0.921659,1.036866,0.202206,136,0.053871,7.618536,-46.437176,-18.82048,746480,663410,0.116279,0.130839,39.04287,10,0.044929,0.011507,270.252106,0.035911,0.041324,11.323529,0.66609,0.14127,0.120546,0.424671,0,0,0,3,0,0,3,0,3,3,0
main\org\apache\tools\ant\ProjectComponent.java,65,23,8,3,7,2,28,18,46,42,28,70,288.7366507,11.72658429,3.218222605,340.7187248,1.051601002,7,1,20,4,22,7,main\org\apache\tools\ant\ProjectComponent.java-->ProjectComponent,224,756,49952,1.513453,,,5,2.232143,67.165901,20.05504,24598,0.492433,369.788879,0.740288,224,756,49952,1.513453,,,5,2.232143,67.165901,20.05504,24598,0.492433,369.788879,0.740288,1,0,0,,0,0,1,100,33.640553,100,0,,0,,224,25.806452,0.036223,1,224,0.115207,25.806452,0.015135,24976,0.285217,40.335789,-23.068943,-9.34959,202943,672092,0.427706,0.129149,29.876202,395.985901,0.03438,0.45568,1474.997925,0.195998,7.764796,217.646667,0.971637,0.026742,0.491997,0.457594,0,0,0,1,1,0,0,0,1,1,0
main\org\apache\tools\ant\types\EnumeratedAttribute.java,90,39,17,4,12,2,44,23,67,80,43,123,567.1107112,1.529630987,17.41897618,4140.606199,12.77964876,12,1,63,2,19,26,main\org\apache\tools\ant\types\EnumeratedAttribute.java-->EnumeratedAttribute,53,64,2756,2.322206,,,2,3.773585,49.884792,47.478069,1346,0.488389,4.333333,0.157233,52,17,2652,0.641026,,,38,73.07692,22.004608,35.370369,1317.5,0.496795,0,0,1,0,0,,0,0,1,100,42.857143,100,0,,0,,53,6.105991,0.008571,1,52,0.115207,5.990783,0.023222,1378,0.070078,9.910504,0.999933,0.405262,204163,672314,0.42515,0.129106,18.205961,203.774109,0.02095,0.234493,95.512497,0.012692,0.379624,50.64151,0.9555,0.036975,0.26285,0.169564,0,0,0,2,0,0,1,0,2,1,0
main\org\apache\tools\ant\Task.java,440,154,71,5,40,4,111,83,194,164,124,288,1131.801929,62.77044128,21.66126513,3177.343552,9.806615902,40,2,126,10,335,401,main\org\apache\tools\ant\Task.java-->Task,236,777,55460,1.40101,,,9,3.813559,68.894012,20.2232,27341.5,0.492995,1432.524658,2.582987,233,427,54056,0.789922,,,33,14.16309,63.364056,23.44416,26814.5,0.49605,1270.80481,2.350904,7,15,42,35.714287,,,1,14.285714,56.105991,51.15546,13.5,0.321429,9,21.428572,236,27.18894,0.038163,7,233,0.806452,26.843317,0.01401,27730,0.278867,39.437698,-70.221771,-28.460117,202969,672080,0.427652,0.129151,33.792873,395.069275,0.038887,0.454625,6080.79248,0.808019,11.693104,229.737503,0.973464,0.033775,0.563791,0.506181,0,0,0,2,0,0,0,0,2,0,0
main\org\apache\tools\ant\taskdefs\optional\ide\VAJRemoteUtil.java,175,133,85,9,23,4,101,158,259,399,303,702,3861.483865,1.166416088,54.87915662,40828.00411,126.0123584,23,1,0,21,30,14,main\org\apache\tools\ant\taskdefs\optional\ide\VAJRemoteUtil.java-->VAJRemoteUtil,4,2,12,16.666666,,,2,50,47.235023,66.450569,5,0.416667,3,25,1,0,0,,0,0,1,100,0.460829,100,0,,0,,3,2,6,33.333332,,,1,33.333332,47.119816,66.721046,2,0.333333,0,0,4,0.460829,0.000647,3,1,0.345622,0.115207,0.166667,6,0.019775,2.796552,-11.882766,-4.815955,750823,670438,0.115606,0.129468,26.5131,3.5,0.03051,0.004028,99,0.013155,0.045594,3.125,0.78125,0.278799,0.010224,0.052386,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\BuildException.java,184,66,29,2,17,1,77,44,121,116,77,193,737.9625134,178.4977311,19.57309395,2524.142133,7.790562138,17,4,1,5,51,80,main\org\apache\tools\ant\BuildException.java-->BuildException,372,1304,138012,0.944845,,,18,4.83871,79.838707,17.260275,68354,0.495276,2318.812744,1.680153,371,1292,137270,0.941211,,,18,4.851752,79.838707,17.325001,67989,0.495294,0,0,1,0,0,,0,0,1,100,1.728111,100,0,,0,,372,42.857143,0.060155,1,371,0.115207,42.741936,0.009448,69006,0.382419,54.082146,-0.000295,-0.00012,202536,672225,0.428566,0.129123,21.30834,500.000092,0.024521,0.575374,5437.731445,0.722568,36.118294,366.030914,0.983954,0.019651,0.480834,0.569914,0,0,0,1,0,0,0,0,1,0,0
main\org\apache\tools\ant\taskdefs\optional\ide\VAJProjectDescription.java,55,35,12,2,10,1,32,22,54,44,31,75,315.698773,0.702357554,15.50297015,1806.028875,5.574163195,10,1,0,2,20,21,main\org\apache\tools\ant\taskdefs\optional\ide\VAJProjectDescription.java-->VAJProjectDescription,5,3,20,15,,,2,40,43.202766,96.899223,8.5,0.425,1,5,4,0,12,0,,,4,100,1.267281,73.333336,6,0.5,0,0,1,0,0,,0,0,1,100,42.857143,100,0,,0,,5,0.576037,0.000809,1,4,0.115207,0.460829,0.15,10,0.012779,1.807262,0.999923,0.405258,745621,671452,0.116413,0.129272,18.348816,7.5,0.021115,0.008631,48,0.006378,0.10546,3.9,0.78,0.271757,0.070525,0.134946,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\ide\VAJExportServlet.java,21,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,11,0,main\org\apache\tools\ant\taskdefs\optional\ide\VAJExportServlet.java-->VAJExportServlet,1,0,0,,0,0,1,100,0.576037,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,0.576037,100,0,,0,,1,0.115207,0.000162,1,0,0.115207,0,,0,0.000332,0.046969,1.42996,0.579547,754292,669813,0.115075,0.129588,16.817068,1,0.019352,0.001151,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\ide\VAJImportServlet.java,20,13,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,11,0,main\org\apache\tools\ant\taskdefs\optional\ide\VAJImportServlet.java-->VAJImportServlet,1,0,0,,0,0,1,100,0.576037,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,0.576037,100,0,,0,,1,0.115207,0.000162,1,0,0.115207,0,,0,0.000332,0.046969,1.429965,0.579549,754292,669813,0.115075,0.129588,16.81707,1,0.019352,0.001151,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\ide\VAJToolsServlet.java,150,95,57,6,17,3,66,62,128,152,101,253,1223.085162,1.476972295,30.97519278,8731.126214,26.94792041,17,2,3,9,21,30,main\org\apache\tools\ant\taskdefs\optional\ide\VAJToolsServlet.java-->VAJToolsServlet,5,0,20,0,,,5,100,44.124424,98.711342,10,0.5,6,30,3,0,6,0,,,3,100,0.460829,100,3,0.5,0,0,2,0,2,0,,,2,100,43.778801,98.958336,1,0.5,0,0,5,0.576037,0.000809,2,3,0.230415,0.345622,0,10,0.011373,1.608367,1.999931,0.81055,751688,670584,0.115473,0.129439,19.348816,4,0.022266,0.004603,243,0.03229,0.558006,5,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\ide\VAJLoadServlet.java,24,15,10,2,2,1,12,18,30,44,39,83,407.2719194,0.105628569,9.467135741,3855.698545,11.90030415,2,3,0,4,15,0,main\org\apache\tools\ant\taskdefs\optional\ide\VAJLoadServlet.java-->VAJLoadServlet,2,0,2,0,,,2,100,1.036866,90,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,1.036866,90,1,0.5,0,0,2,0.230415,0.000323,2,0,0.230415,0,0,1,0.000705,0.099747,2.644948,1.071969,754292,668945,0.115075,0.129757,17.817068,1,0.020503,0.001151,0,0,0.00052,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\taskdefs\optional\scm\AntStarTeamCheckOut.java,1003,356,216,9,82,3,337,366,703,1024,724,1748,9468.532961,4.954294436,207.4232673,109254.3895,337.204906,82,3,0,8,380,878,main\org\apache\tools\ant\taskdefs\optional\scm\AntStarTeamCheckOut.java-->AntStarTeamCheckOut,3,2,6,33.333332,,,1,33.333332,48.156681,61.651917,2,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.333332,,,1,33.333332,48.156681,61.651917,2,0.333333,0,0,3,0.345622,0.000485,3,0,0.345622,0,0.333333,3,0.022249,3.146497,-12.406848,-5.02836,754292,671273,0.115075,0.129307,28.036928,1,0.032263,0.001151,0,0,0.000208,1.833333,0.611111,0.338668,0.000099,0.007943,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\DirectoryScanner.java,1265,604,384,19,147,7,551,460,1011,1561,1051,2612,13337.25246,23.07074199,236.1127445,121404.5795,374.7054924,147,1,5,20,82,1220,main\org\apache\tools\ant\DirectoryScanner.java-->DirectoryScanner,70,162,4830,3.354037,,,3,4.285714,58.410137,38.09166,2334,0.48323,181.166672,3.750863,66,82,4290,1.911422,,,8,12.121212,33.870968,34.225845,2104,0.490443,0,0,4,2,12,16.666666,,,2,50,47.235023,86.86441,5,0.416667,0,0,70,8.064516,0.01132,4,66,0.460829,7.603687,0.03354,2415,0.100591,14.225746,-1.437662,-0.582669,203625,672121,0.426274,0.129143,28.928587,252.766266,0.03329,0.29087,2302.491211,0.305956,0.970484,65.714287,0.938775,0.035704,0.248618,0.285404,0,0,2,2,0,0,0,2,2,0,0
testcases\org\apache\tools\ant\util\DOMElementWriterTest.java,68,62,50,1,5,0,5,3,8,6,4,10,30,0.266666667,3.75,112.5,0.347222222,5,2,0,2,20,4,testcases\org\apache\tools\ant\util\DOMElementWriterTest.java-->DOMElementWriterTest,1,0,0,,0,0,1,100,0.691244,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,0.691244,100,0,,0,,1,0.115207,0.000162,1,0,0.115207,0,,0,0.00015,0.021233,1.000008,0.405293,754292,753424,0.115075,0.115207,2,1,0.002301,0.001151,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\util\DOMElementWriter.java,258,175,136,13,41,3,119,155,274,582,389,971,5640.210622,0.511111497,77.85574284,78727.35258,242.9856561,41,1,0,15,17,15,main\org\apache\tools\ant\util\DOMElementWriter.java-->DOMElementWriter,6,0,30,0,,,6,100,3.801843,71.739128,15,0.5,0,0,6,0,30,0,,,6,100,3.801843,71.739128,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.691244,0.00097,0,6,0,0.691244,0,15,0.005141,0.727072,0.000063,0.000025,748217,754292,0.116009,0.115075,1,7.5,0.001151,0.008631,0,0,0.212392,6,1,0.166667,0,0,0,0,0,2,0,0,0,0,2,0,0
main\org\apache\tools\ant\taskdefs\ExecuteWatchdog.java,132,64,36,4,15,3,45,32,77,100,42,142,638.8633101,1.487968255,14.76768272,3047.715773,9.406530164,15,1,0,8,25,20,main\org\apache\tools\ant\taskdefs\ExecuteWatchdog.java-->ExecuteWatchdog,8,9,56,16.071428,,,3,37.5,44.470047,73.384033,23.5,0.419643,7,12.5,6,4,30,13.333333,,,2,33.333332,11.86636,67.763161,13,0.433333,0,0,2,0,2,0,,,2,100,42.972351,99.73262,1,0.5,0,0,8,0.921659,0.001294,2,6,0.230415,0.691244,0.160714,28,0.021781,3.080343,1.999819,0.810505,631254,670584,0.137504,0.129439,19.34881,62.316643,0.022266,0.071711,131.116669,0.017423,0.171372,5.75,0.71875,0.141932,0.006264,0.062195,0,0,0,1,0,0,0,0,1,0,0
main\org\apache\tools\ant\util\Watchdog.java,55,46,24,4,12,2,55,38,93,93,55,148,606.2615963,1.559742649,29.84234192,4204.105878,12.97563543,12,1,0,7,18,14,main\org\apache\tools\ant\util\Watchdog.java-->Watchdog,2,0,2,0,,,2,100,1.728111,88.235291,1,0.5,0,0,2,0,2,0,,,2,100,1.728111,88.235291,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.230415,0.000323,0,2,0,0.230415,0,1,0.001573,0.222403,0.000013,0.000005,628793,754292,0.138042,0.115075,1,45.399994,0.001151,0.052244,0,0,0.000141,2,1,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0
