class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
testcases\org\apache\tools\ant\taskdefs\optional\vss\MSVSSTest.java,418,285,226,7,30,3,144,407,551,831,716,1547,8461.929398,3.040081007,69.96217626,45647.85651,140.888446,30,3,0,29,529,175,testcases\org\apache\tools\ant\taskdefs\optional\vss\MSVSSTest.java-->MSVSSTest,18,47,306,15.359477,,,1,5.555555,57.718895,42.783947,129.5,0.423203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,47,306,15.359477,,,1,5.555555,57.718895,42.783947,129.5,0.423203,0,0,18,2.073733,0.002911,18,0,2.073733,0,0.153595,153,0.046312,6.549503,-111.96582,-45.378525,754292,653832,0.115075,0.132756,52.033325,1,0.059877,0.001151,0,0,0.295235,13.777778,0.765432,0.122802,0.109363,0.379346,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\BuildFileTest.java,445,207,106,4,35,2,193,205,398,439,351,790,3590.959664,81.5739852,54.77412158,11514.15196,35.53750606,35,2,119,13,390,356,testcases\org\apache\tools\ant\BuildFileTest.java-->BuildFileTest,118,70,13806,0.507026,,,53,44.915253,60.829494,55.696201,6868,0.497465,250.5,1.814429,115,0,13110,0,,,115,100,17.51152,58.015266,6555,0.5,0,0,3,3,6,50,,,1,33.333332,54.37788,68.804665,1.5,0.25,0,0,118,13.59447,0.019082,3,115,0.345622,13.248848,0.00507,6903,0.051276,7.2515,-30.237684,-12.255003,654472,671218,0.132626,0.129317,32.126205,116,0.036969,0.133487,5404.654785,0.718173,11.242938,117.080505,0.992208,0.043784,0.683528,0.203707,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\Location.java,109,42,20,3,10,2,37,29,66,88,55,143,601.1084175,1.407535078,11.66282723,1915.04256,5.910625184,10,1,0,4,23,16,main\org\apache\tools\ant\Location.java-->Location,15,25,210,11.904762,,,1,6.666667,51.382488,54.126213,92.5,0.440476,10,4.761905,14,20,182,10.989011,,,1,7.142857,47.926266,56.445049,81,0.445055,0,0,1,0,0,,0,0,1,100,10.023042,100,0,,0,,15,1.728111,0.002426,1,14,0.115207,1.612903,0.119048,105,0.034719,4.910015,-4.652612,-1.885653,203118,672132,0.427338,0.129141,26.578585,286.083282,0.030585,0.32921,5697.208008,0.757048,0.033031,12.2,0.813333,0.112151,0.096953,0.222698,0,0,0,1,1,0,0,0,1,1,0
main\org\apache\tools\ant\Project.java,1992,763,452,16,178,5,882,869,1751,2070,1518,3588,17345.19709,84.83355688,347.7893562,107930.456,333.1186913,178,1,0,49,484,4673,main\org\apache\tools\ant\Project.java-->Project,292,1101,84972,1.295721,,,2,0.684932,75.80645,18.141714,41935.5,0.493521,7252.602051,8.535284,286,872,81510,1.069807,,,2,0.699301,73.156685,19.874804,40319,0.494651,5857.146973,7.185802,17,35,272,12.867647,,,1,5.882353,55.875576,41.595196,118.5,0.435662,179,65.808823,292,33.640553,0.047219,17,286,1.958525,32.94931,0.012957,42486,0.317748,44.936348,-111.948708,-45.37159,202734,671998,0.428147,0.129167,45.299988,444.800079,0.052129,0.511853,38934.25,5.173602,18.56893,284.28714,0.973586,0.030814,0.491606,0.605706,0,0,4,3,2,0,0,4,3,2,0
main\org\apache\tools\ant\taskdefs\Tstamp.java,283,163,103,3,7,2,35,46,81,101,79,180,856.5734267,1.30693853,16.92683992,5401.874796,16.67245307,7,3,0,11,344,4,main\org\apache\tools\ant\taskdefs\Tstamp.java-->Tstamp,6,13,30,43.333332,,,1,16.666666,58.064518,43.940716,8.5,0.283333,0.666667,2.222222,2,0,2,0,,,2,100,2.18894,82.608696,1,0.5,0,0,4,7,12,58.333332,,,1,25,58.064518,44.839859,2.5,0.208333,0,0,6,0.691244,0.00097,4,2,0.460829,0.230415,0.433333,15,0.039087,5.527787,-40.12656,-16.262857,752556,671218,0.11534,0.129317,32.459541,3,0.037353,0.003452,0.395833,0.000053,0.006356,3.166667,0.527778,0.219567,0.014258,0.140395,0,0,1,2,0,0,1,1,2,1,0
main\org\apache\tools\ant\types\Commandline.java,550,279,168,13,60,4,230,197,427,652,431,1083,5466.069819,6.572639419,115.2552736,64360.19724,198.6425841,60,1,0,14,42,323,main\org\apache\tools\ant\types\Commandline.java-->Commandline,69,152,4692,3.239557,,,1,1.449275,48.041473,39.451279,2270,0.483802,5.433333,0.1158,68,95,4556,2.085162,,,5,7.352941,21.428572,27.153284,2230.5,0.489574,0,0,1,0,0,,0,0,1,100,42.857143,100,0,,0,,69,7.949309,0.011158,1,68,0.115207,7.834101,0.032396,2346,0.087496,12.373859,0.999869,0.405236,621593,671452,0.139641,0.129272,18.348816,108.53334,0.021115,0.124895,4.3625,0.00058,0.509298,64.63768,0.936778,0.043991,0.276646,0.386463,0,0,0,3,1,0,3,0,3,4,0
main\org\apache\tools\ant\types\Path.java,617,409,280,15,94,3,356,396,752,1263,879,2142,11574.86169,31.8124255,127.6673179,111084.7047,342.8540268,94,3,1,20,166,340,main\org\apache\tools\ant\types\Path.java-->Path,96,390,9120,4.276316,,,3,3.125,62.67281,25.660378,4365,0.478618,733.742859,8.045426,85,142,7140,1.988796,,,9,10.588235,46.42857,34.181511,3499,0.490056,34.666668,0.485528,12,29,132,21.969696,,,1,8.333333,57.834103,40.713707,51.5,0.390152,36,27.272728,96,11.059908,0.015524,12,85,1.382488,9.792626,0.042763,4560,0.149638,21.161955,-63.483356,-25.729111,203216,672011,0.427132,0.129165,43.200012,304.768951,0.049712,0.350712,18607.92188,2.472629,1.822775,88.360825,0.920425,0.041135,0.311764,0.480159,0,1,0,7,1,1,2,1,7,4,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSADD.java,93,37,20,2,8,1,50,37,87,108,66,174,760.3340769,1.297220616,29.67098572,4731.881853,14.60457362,8,4,0,5,465,20,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSADD.java-->MSVSSADD,6,10,30,33.333332,,,1,16.666666,48.847927,52.475246,10,0.333333,0.2,0.666667,1,0,0,,0,0,1,100,2.073733,100,0,,0,,5,6,20,30,,,1,20,48.847927,53.670887,7,0.35,0,0,6,0.691244,0.00097,5,1,0.576037,0.115207,0.333333,15,0.029162,4.124158,-33.515606,-13.583509,753424,662560,0.115207,0.131007,36.961929,2,0.042534,0.002301,0.0625,0.000008,0.001677,3.083333,0.513889,0.198385,0.000414,0.090811,0,0,1,2,0,0,4,1,2,4,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java,85,34,19,2,7,1,50,38,88,116,70,186,822.1076765,1.267144693,29.81451042,5264.425971,16.24822831,7,4,0,5,466,15,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java-->MSVSSCHECKIN,6,10,30,33.333332,,,1,16.666666,48.847927,52.475246,10,0.333333,0.2,0.666667,1,0,0,,0,0,1,100,2.073733,100,0,,0,,5,6,20,30,,,1,20,48.847927,53.670887,7,0.35,0,0,6,0.691244,0.00097,5,1,0.576037,0.115207,0.333333,15,0.029162,4.124158,-33.515633,-13.58352,753424,662560,0.115207,0.131007,36.961929,2,0.042534,0.002301,0.0625,0.000008,0.001677,3.083333,0.513889,0.198385,0.000414,0.090811,0,0,0,2,0,0,0,0,2,0,0
main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java,135,48,25,2,11,1,77,56,133,159,98,257,1108.222283,2.160275435,48.66637253,7090.713886,21.8849194,11,4,0,7,470,45,main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java-->MSVSSCHECKOUT,6,10,30,33.333332,,,1,16.666666,48.847927,52.475246,10,0.333333,0.2,0.666667,1,0,0,,0,0,1,100,2.073733,100,0,,0,,5,6,20,30,,,1,20,48.847927,53.670887,7,0.35,0,0,6,0.691244,0.00097,5,1,0.576037,0.115207,0.333333,15,0.029162,4.124158,-33.515636,-13.583522,753424,662560,0.115207,0.131007,36.961926,2,0.042534,0.002301,0.0625,0.000008,0.001677,3.083333,0.513889,0.198385,0.000414,0.090811,0,0,1,2,0,0,3,1,2,3,0
