"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"LOC",1014635,130.449344304448,234.639259105434,55055.5819135471,1,25,60,141,5221,7.3103366367146,98.5786362875082,0
"CCMax",47238,6.07328362046799,9.2222583269017,85.0500486481077,0,2,4,7,229,9.43542297898085,157.561690061884,0
"CCSum",221243,28.444715865261,53.4855467094144,2860.70370680495,0,5,13,30,1247,7.438019351087,98.4565411839315,0
"n1",775917,99.7579069169452,160.865383915102,25877.6717421531,0,22,52,110,2850,5.67428488872989,57.2167032014077,0
"n2",946031,121.629082026228,210.374353872064,44257.3687670883,0,21,56,133,3282,5.7635470173594,58.3946330706097,0
"n",1721948,221.386988943173,367.456596638538,135024.350413177,0,45,108,242,6067,5.7080339952359,57.6707981288388,0
"N1",2846434,365.959629724865,728.963567785462,531387.88315851,0,46,142,376,11887,6.38607613387285,65.5745115964872,0
"N2",1958200,251.761378246336,492.430212149891,242487.513837987,0,33,98,261,8320,6.11238946337594,60.6069796351899,0
"N",4804634,617.721007971201,1219.86490611525,1488070.38917157,0,80,242,638,19666,6.25524771456123,63.0644791157678,0
"V",25885186.9283752,3328.00037649463,7055.25045988847,49776559.0517564,0,330.829917625,1153.8072795,3330.21085175,127289.0423,6.69420900792635,71.7870903614704,0
"L",18514.765247064,2.38040180599949,10.3914360788968,107.981943781799,0,0.463562836,1.012720612,2.15023313975,544.6831594,32.4304351308274,1382.60331514286,0
"D",485785.501683766,62.4563514635852,104.176845586043,10852.8151562582,0,12.3995836075,31.072400725,69.7189262925,2434.050319,6.11157481794434,73.3596698685413,0
"E",357655214.990026,45982.9281293425,166006.328717121,27558101174.1368,0,1764.032771,9477.378897,35283.836545,6979495.597,17.0950256087201,504.860260042891,0
"T",1103874.120333,141.922617682309,512.365212095319,262518.110565481,0,5.44454558825,29.251169435,108.900730075,21541.65308,17.0950256111596,504.860260215689,0
"WMC",221243,28.444715865261,53.4855467094144,2860.70370680495,0,5,13,30,1247,7.438019351087,98.4565411839315,0
"DIT",18475,2.37528927744922,1.44165739948621,2.07837605749334,0,1,2,3,8,0.986228245480305,3.37227447038075,0
"NOC",5294,0.680637696065827,4.20853948022885,17.7118045566449,0,0,0,0,212,24.5680031547954,965.968315565417,0
"CBO",106533,13.6967086654667,14.7721955743171,218.217762085873,0,4,9,18,176,2.74025592726134,15.8387701531676,0
"RFC",1959381,251.913216765235,357.728214113893,127969.475173115,8,31,104,358,3327,3.0993914759871,16.5892187416308,0
"LCOM",1137704,146.272049370018,827.039744443691,683994.738889486,0,3,14,60,25005,17.4998457639255,406.748283137525,0
