"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"LOC",1277588,130.940657989136,234.207306432408,54853.0623863239,0,25,60,142,4879,6.82210949476187,82.7943084011699,0
"CCMax",59492,6.09736599364559,10.0023239525229,100.046484451213,0,2,4,7,401,14.3708634656387,386.099838955665,0
"CCSum",279256,28.6210925489392,54.5611157557903,2976.91535251675,0,5,13,30,1420,7.61018150775652,104.573317827759,0
"n1",985855,101.040791226812,167.278044017624,27981.944010362,0,22,52,112,3232,5.82097720991859,58.2070711301168,0
"n2",1207761,123.784052475146,218.550327836201,47764.2457973109,0,21,56,135,4267,5.86057155892794,60.3279095407889,0
"n",2193616,224.824843701958,381.838778509283,145800.852773461,0,44,110,248,7499,5.83216721714559,59.5384341158942,0
"N1",3626923,371.72522291688,766.913130361298,588155.749520566,0,46,145,376,14641,6.92086631362011,77.8022466483827,0
"N2",2487632,254.95869632059,514.289770116055,264493.967646025,0,33,99,262,10416,6.50001491647343,69.3734903738275,0
"N",6114555,626.68391923747,1278.7670599627,1635245.19364565,0,80,244,637,24243,6.69574044094584,72.6913822901411,0
"V",33037152.7058604,3385.99494781802,7413.82902735378,54964860.8468336,0,337.8492792,1182.403274,3325.495568,141247.6023,7.05444164977767,79.2207900816898,0
"L",23083.068880601,2.36579572415712,10.9657966318779,120.248695771705,0,0.455227561,0.996326848,2.119688954,724.9135954,40.1122725893623,2240.99561612332,0
"D",609122.93978528,62.4293266152793,107.895338016107,11641.40396561,0,12.41463519,30.97519278,68.38311229,2434.050319,6.44223165640514,76.7371074755773,0
"E",466886500.172976,47851.4400095292,209487.079980825,43884836678.8924,0,1861.48566,9527.932697,34657.64064,8404234.533,21.6079362603337,676.234746450767,0
"T",1441007.71657534,147.689629658229,646.565061660355,418046.378959859,0,5.745326112,29.40719968,106.9680267,25938.99547,21.6079362602783,676.234746429533,0
"WMC",279256,28.6210925489392,54.5611157557903,2976.91535251675,0,5,13,30,1420,7.61018150775652,104.573317827759,0
"DIT",22374,2.29312288613303,1.40598748000757,1.97680079393804,1,1,2,3,9,1.1179845174734,3.92727794773592,0
"NOC",6518,0.668033206928359,4.97696373869629,24.7701680562978,0,0,0,0,342,39.8729351507079,2401.32957855003,0
"CBO",141210,14.4726862765194,15.5753007327766,242.58999291643,0,4,10,19,192,2.79511176688252,16.2950704409076,0
"RFC",2704339,277.169109357384,435.462630355814,189627.702436404,11,31,109,388,4188,4.0488030431179,25.7491045275104,0
"LCOM",1472577,150.925181920672,911.665458318355,831133.907890816,0,3,14,62,37356,20.1418715304476,573.689822683334,0
"Size",130970,13.4231833555396,37.2332464999865,1386.31464492876,0,3,7,14,1287,17.2194906149591,427.132379048503,0
"Ties",351086,35.9829865737419,198.293230148101,39320.2051225678,0,2,8,26,10765,31.6049099263285,1377.97164916285,0
"Pairs",15151950,1552.93122886133,29423.7246821969,865755574.173724,0,6,42,182,1655082,40.0263146416263,1853.7669669332,0
"Density",172712.887244,19.1711496552337,15.3010054647728,234.120768233006,0,8.801021,16.666666,25.454546,100,1.37527957990901,6.06802265875835,NA
"nWeakComp",21317,2.18479040688736,3.77948735837628,14.2845246921261,0,1,1,2,112,14.5871717250554,309.43045595319,0
"pWeakComp",345884.356178,35.4498673955109,31.9265706242165,1019.30591182308,0,11.111111,25,50,100,1.01240773076939,2.73424029644757,0
"X2StepReach",78133.784234,8.00797214656144,8.93289291018145,79.7965757447701,0,0.758508,4.233292,14.165642,50.953259,1.15137598401182,3.45214984691286,0
"ReachEffic",639538.933631,65.6341270146757,24.5194385539117,601.20286699905,0,47.8005675,68.7423975,85.181606,100,-0.504072358803149,2.65705644505252,NA
"Broker",7400432,758.474121143794,14623.7307428562,213853500.839557,0,3,16.5,71.5,822158.5,40.0564095971218,1855.27400215702,0
"nBroker",3512.935489,0.389936229215229,0.100158788242699,0.0100317828622457,0,0.359091,0.416667,0.451923,0.5,-2.076518980846,8.27670822326563,NA
"EgoBetween",529545.464926,54.2733898663524,580.573251007492,337065.299785409,0,0,2,10.5,38287.03906,36.9637411241261,2060.79272807726,0
"nEgoBetween",75236.854091,8.35129915540016,10.592147703699,112.193592976975,0,0,4.923077,12.777778,93.113297,1.96312680927597,8.16991957718563,NA
"Size2",67275,6.89504970790202,36.1920225746272,1309.86249804232,0,1,1,4,1274,18.6413005327298,476.998896337375,0
"Ties2",127744,13.0925489392231,158.518214526423,25128.0243366449,0,0,0,1,8864,38.0041748848068,1778.90869169668,0
"Pairs2",13175608,1350.3749103208,28972.8387687338,839425386.319042,0,0,0,12,1621802,40.31407287875,1868.02768436114,0
"Density2",79356.116387,11.9855182581181,20.0135205388481,400.541004358896,0,0,0,16.666666,100,2.12626221258061,7.79510012316852,NA
"nWeakComp2",21000,2.15230091216562,6.67273463734614,44.5253875404389,0,1,1,2,374,24.0934913389974,1076.09290365134,0
"pWeakComp2",565840.921025,57.9933300220355,42.6701934046341,1820.74540518888,0,9.090909,66.666664,100,100,-0.256306331538314,1.32793371946682,0
"X2StepReach2",7648.698215,0.783919054524956,2.36410310159826,5.58898347498652,0,0.051251,0.246002,0.635506,50.953259,9.90968990998269,134.95208516291,0
"ReachEffic2",603183.418879,62.0431412136392,38.8137263927586,1506.50535649192,0,31.46509,73.333336,100,100,-0.588442075472399,1.8091278363859,NA
"Broker2",6523932,668.641180690786,14413.5869669621,207751489.254179,0,0,0,3.5,806469,40.3184877013961,1868.06040355682,0
"nBroker2",1843.219379,0.27838987751095,0.21293283924732,0.045340394029925,0,0,0.366071,0.483838,0.5,-0.367095905118771,1.37210058616698,NA
"EgoBetween2",187977.681212,19.2659302256841,351.324199682537,123428.693282575,0,0,0,0,20781.01563,35.5475871150306,1639.66295842248,0
"nEgoBetween2",27632.138037,4.1734085541459,13.6279616969276,185.721340012926,0,0,0,0,100,4.07643333135909,21.1724473800438,NA
"Size3",67275,6.89504970790202,8.54983540275458,73.0996854141955,0,2,4,9,155,3.60235863812125,29.2439556269172,0
"Ties3",127744,13.0925489392231,28.0634191957525,787.555496956527,0,0,3,13,726,6.29257509355036,82.9141860312168,0
"Pairs3",1109750,113.738854155991,469.526738099246,220455.357790118,0,2,12,72,23870,21.3909401649303,807.336367218894,0
"Density3",158077.907413,18.1198885159331,17.4453526937484,304.340330609275,0,4.545455,14.7277285,26.190475,100,1.32766533219801,5.4805162317047,NA
"nWeakComp3",16727,1.71435892179973,1.81929992739391,3.30985222581548,0,1,1,2,94,16.9207695968224,731.931284390771,0
"pWeakComp3",382879.533613,39.2415223545147,34.7176490868719,1205.31515811918,0,11.111111,28.571428,60,100,0.694256628374618,2.12306120694523,0
"X2StepReach3",73743.93184,7.55805389361484,8.84146440208558,78.1714927733466,0,0.358754,3.679787,13.765887,46.156212,1.14517965516826,3.35929952317609,0
"ReachEffic3",598502.748101,61.5743568005144,32.128158742169,1032.21858416201,0,40.16874725,69.230766,88.3553275,100,-0.670688213267957,2.34870058154338,NA
"Broker3",491003,50.3231526083837,223.882328711878,50123.2971094532,0,0.5,5.5,29.5,11572,22.4249656342217,866.139119057464,0
"nBroker3",2908.110421,0.333345990486016,0.161470141302297,0.0260726065321839,0,0.25,0.4,0.446429,0.5,-1.19823223173118,3.10099368096779,NA
"EgoBetween3",79629.250691,8.16124328082402,164.277838650698,26987.2082717448,0,0,0,0,8367.616211,39.9264230905803,1722.25210716206,0
"nEgoBetween3",20553.692185,2.35599406063732,7.57705260200812,57.4117261335981,0,0,0,0,100,5.05825957535641,37.898898302553,NA
"Degree",130970,13.4231833555396,37.2332464999865,1386.31464492876,0,3,7,14,1287,17.2194906149591,427.132379048503,0
"OutDegree",67275,6.89504970790202,8.54983540275458,73.0996854141955,0,2,4,9,155,3.60235863812125,29.2439556269172,0
"InDegree",67275,6.89504970790202,36.1920225746272,1309.86249804232,0,1,1,4,1274,18.6413005327298,476.998896337375,0
"Clus.Coef",1727.128909,0.197318508968354,0.151625835654251,0.0229903940378498,0,0.095238,0.166667,0.2625,1,1.40276330769073,6.1862686951608,NA
"Eigenvec",37.749791,0.00386899569539818,0.00935576131355616,8.7530269756234e-05,0,3.1e-05,0.000613,0.003306,0.30218,11.1797755686703,252.094021483091,0
"Power",3619124378450.46,370925938.141894,2586485249.49552,6689905945857901568,0,49.848679,137372.4531,1511243.5,71295229952,13.8803612263573,276.739380288564,0
"inCloseness",114.095442,0.0116937011376448,0.00256499930612026,6.57922144039743e-06,0.010249,0.01025,0.0103,0.01187,0.024404,2.64529905777495,11.1151516274458,0
"outCloseness",112.854023,0.01156646745926,0.00192154097665946,3.69231972498138e-06,0.010249,0.010273,0.010594,0.011791,0.019334,1.71207444430653,4.8159704762818,0
"OutdwReach",1743432.018657,178.685253526391,212.594533301125,45196.4355895232,1,11.45,81.01664,256.018982,932.450012,1.31999865872821,3.71286467271581,0
"IndwReach",1743434.87914,178.68554669878,289.365351009176,83732.3063646635,1,2,19.620796,237.858749,2974.729004,2.6038876905067,12.9208789036159,0
"Betweenness",48158537.915503,4935.79357543333,44169.6746894921,1950960162.17556,0,0,8.883835,684.464294,1960901.875,24.8749944554857,797.618702966958,0
"Betweenness2",2.901624,0.000297388951521984,0.00265704362185085,7.05988080841831e-06,0,0,1.2e-05,0.000114,0.180795,40.3294137117945,2347.68318403975,0
"EffSize",110708.121945,11.3465329450651,36.5294933569365,1334.40388491446,0,2.333333,5,10.708333,1271.933472,17.7617971705939,446.153738267603,0
"Efficiency",7420.445354,0.760525300194732,0.197730779951893,0.0390974613403839,0,0.666667,0.789063,0.887574,1,-1.52910911231337,6.697107603146,0
"Constraint",2556.24843,0.261991229886236,0.259679439264917,0.0674334111769417,0,0.090605,0.173888,0.333333,1.125,1.7566998379719,5.41165357033445,0
"Hierarchy",1008.646265,0.106162116093043,0.266086398193537,0.0708019713036098,0,0.001511,0.008775,0.057023,1,2.95707652107912,10.0539517405883,NA
"Indirectsfile",1095.34791,0.112262776468177,0.113961610095965,0.0129872485756648,0,0.024022,0.08125,0.164368,0.729283,1.50256140169285,5.62973701864995,0
