"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.53154434437615,1.61313361849249,-2.18924477420318,0.0285790539335389
"EgoBetween",0.0152933022703759,0.00701697332915987,2.17947276596061,0.0292965656741817
"Pairs2",-0.00448024441787572,0.00205623233434735,-2.17886098911958,0.0293419965584009
"pWeakComp2",-0.0235758882774974,0.0103061885081229,-2.28754677434009,0.0221639285459794
"ReachEffic2",0.0284354739581049,0.0125663007895385,2.26283569320397,0.0236458197341616
"Ties3",0.070566218209268,0.0303855992663638,2.32235729796461,0.0202137046616451
"Pairs3",-0.0137755136756512,0.00536603447039209,-2.56716831612986,0.0102532829240542
"X2StepReach3",-0.0493262566031805,0.0209593146577924,-2.35342888870852,0.0186011653691547
"nEgoBetween3",-0.0443869303891126,0.0265763535482855,-1.67016631188578,0.0948864632119699
"Eigenvec",44.8779431790775,12.0810104543748,3.71475079411312,0.00020340405004063
"inCloseness",-4.69906733889625,1.6064014914768,-2.92521350598117,0.00344219966470953
"OutdwReach",0.0314121340259936,0.0122070884088897,2.57326997018536,0.010074259028467
"Efficiency",3.49617002284625,1.3941498009887,2.50774344361476,0.0121504851713264
"Betweenness2",0.503185312803117,0.33685799718864,1.49376092300796,0.135238118546595
