"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.2312891994085,0.543097629175515,-5.94973909997356,2.68570244823452e-09
"rfc",0.0514446857699683,0.0085174528246555,6.0399143768723,1.54196029811549e-09
"loc",-0.00122167002451173,0.000349503852594212,-3.49544079541274,0.000473279436718481
"dam",0.887952260316124,0.475853021009001,1.86602211420935,0.062038271602215
"mfa",-1.6820484908926,0.534337074281398,-3.14791649663221,0.00164438660354139
"ic",0.388082070138674,0.212169202377168,1.82911594044073,0.0673822414726588
"avg_cc",0.268001798474768,0.113260562237456,2.36624110970674,0.0179697372912395
